SAMPLE_NAME,PI_LAST_NAME,PI_FIRST_NAME,ORGANISM,STRAIN,EXP_DATE,EXP_GROWTH_MEDIUM,EXP_MODIF_GROWTH,EXP_TEMPERATURE,EXP_SALINITY,EXP_PH,EXP_LIGHT,EXP_DAY_PORTION_OF_DAY,EXP_NIGHT_PORTION_OF_DAY,EXP_NITRATE,EXP_AMMONIUM,EXP_PHOSPHATE,EXP_SILICATE,EXP_DISSOLVED_OXYGEN,EXP_TOTAL_FE,EXP_DOC,EXP_LIST_AA_AND_CONCENTRATIONS,EXP_TRACE_ELEMENTS_TOTAL,EXP_CO2_PPM,EXP_UREA,EXP_PREY_ORGANISM,ENV_LATITUDE,ENV_LONGITUDE,ENV_DEPTH,ENV_ELEVATION,ENV_SALINITY,ENV_TEMPERATURE,ENV_PH,ENV_COLLECTION_DATE,ENV_COLLECTION_TIME,GEO_LOC_NAME,BIOME,HABITAT_DESCRIPTION,CAMERA_SAMPLE_ACC,CLONAL,AXENIC
MMETSP0562,Rynearson,Tatiana,Skeletonema dohrnii,SkelB,06-SEP-11,f/2 amended seawater,f/2 for all nutrients,14,36,7.9,180,12,12,882,,36.2,106,,,,,,,,,41.57361,-71.40861,0.5,,31.38,6.1,,22-NOV-10,10:00 AM,Atlantic Ocean,Acquatic: marine,Well mixed estuary,CAM_SMPL_002826,1,0
MMETSP0894_2,Cattolico,Rose Ann,Heterosigma akashiwo,CCMP 452,31-MAY-11,O-3 Medium doi:10.1016/0003-2697(78)90546-8,,20,30,8.3,40,12,12,7520,179,365,0,,7240000,,,12800000,,,,41,-73,,,,,,01-JAN-52,,Long Island Sound,Acquatic: marine,,CAM_SMPL_002722,0,1
MMETSP0472,McManus,George,Tiarina fusus,LIS,15-AUG-11,f/20 seawater,no Si,19,30,8,100,12,12,90,0,3.6,0,,,,,1000,,,Rhodomonas lens,41,-72,0,,,,,,,Atlantic Ocean,Acquatic: marine,,CAM_SMPL_002785,0,0
MMETSP1315,Vaulot,Daniel,Prasinoderma singularis,RCC927,15-JAN-12,K,,20,35,,30,12,12,,,,,,,,,,,,,-34.53333333,-72.41666667,0,,,,,09-DEC-04,,Pacific Ocean,Aquatic: marine,,CAM_SMPL_002950,0,0
MMETSP0954,Collier,Jackie,Aplanochytrium sp,PBS07,04-FEB-12,ATCC medium 790BY+ agar plates,"glucose, peptone, yeast extract at half concentration; 25g Instant Ocean per liter instead of filtered seawater, solidified with 0.8% agar",23,25,8,,,,0,0,0,0,,,,,0,,,,40.93,-72.5,7,,,13,,29-OCT-07,,OTHER,Acquatic: marine,"surface sediment in Peconic Bay, Long Island, New York, USA",CAM_SMPL_002675,1,1
MMETSP0955,Collier,Jackie,Aplanochytrium sp,PBS07,26-MAR-12,artificial seawater with 1% horse serum (0.8% agar plates),"artificial seawater (25 grams per liter Instant Ocean) plus 0.8% agar autoclaved, then filter sterilized horse serum (1% vol:vol) added just before pouring plates",23,25,8,,,,0,0,0,0,,,,,0,,,,40.93,-72.5,7,,,13,,29-OCT-07,,OTHER,Acquatic: marine,"surface sediment in Peconic Bay, Long Island, New York, USA",CAM_SMPL_002681,1,1
MMETSP0956,Collier,Jackie,Aplanochytrium sp,PBS07,04-FEB-12,artificial seawater with 0.125% Artemia detritus (0.8% agar plates),"artificial seawater (25 grams per liter Instant Ocean), 0.125% freeze dried and ground Artemia (wt:vol), plus 0.8% agar",23,25,8,,,,0,0,0,0,,,,,0,,,,40.93,-72.5,7,,,13,,29-OCT-07,,OTHER,Acquatic: marine,"surface sediment in Peconic Bay, Long Island, New York, USA",CAM_SMPL_002688,1,1
MMETSP0957,Collier,Jackie,Aplanochytrium sp,PBS07,27-MAR-12,artificial seawater with 0.125% Spartina detritus(0.8% agar plates),"artificial seawater (25 grams per liter Instant Ocean), dried and ground Spartina (0.125% wt:vol), plus 0.8% agar",23,25,8,,,,0,0,0,0,,,,,0,,,,40.93,-72.5,7,,,13,,29-OCT-07,,OTHER,Acquatic: marine,"surface sediment in Peconic Bay, Long Island, New York, USA",CAM_SMPL_002695,1,1
MMETSP0897_2,Cattolico,Rose Ann,Heterosigma akashiwo,CCMP 452,20-JUN-11,O-3 Medium doi:10.1016/0003-2697(78)90546-8,,20,30,8.5,40,12,12,7520,179,365,0,,7240000,,,12800000,,,,41,-73,,,,,,01-JAN-52,,Long Island Sound,Acquatic: marine,,CAM_SMPL_002725,0,1
MMETSP1346,Collier,Jackie,Aplanochytrium stocchinoi,GSBS06,11-JUN-12,ATCC medium 790BY+ (0.8% agar plates),"glucose, peptone, yeast extract at half concentration; 25g Instant Ocean per liter instead of filtered seawater; solidified with 0.8% agar",23,25,8,,,,0,0,0,0,,,,,0,,,,40.7,-73.1,1,,25,,,10-JUL-08,,OTHER,Acquatic: marine,"Sediment from Great South Bay, Long Island, NY, USA",CAM_SMPL_002953,1,1
MMETSP1347,Collier,Jackie,Aplanochytrium stocchinoi,GSBS06,24-MAY-12,artificial seawater with 1% horse serum (0.8% agar plates),"artificial seawater (25 grams per liter Instant Ocean) plus 0.8% agar autoclaved, then filter sterilized horse serum (1% vol:vol) added just before pouring plates",23,25,8,,,,0,0,0,0,,,,,0,,,,40.7,-73.1,1,,25,,,10-JUL-08,,OTHER,Acquatic: marine,"Sediment from Great South Bay, Long Island, NY, USA",CAM_SMPL_002872,1,1
MMETSP0917,Gobler,Christopher,Aureococcus anophagefferens,CCMP1850,20-NOV-11,GSe media,Ammonium in place of nitrate,22,32,7.8,12,12,12,0,80,5,0,8,1100,2,none,1004,400,0,none,40.6508,-73.1524,1,0,25.25,18,8,06-MAY-98,12:00 PM,OTHER,Aquatic: marine,Estuarine,CAM_SMPL_002768,1,1
MMETSP0915,Gobler,Christopher,Aureococcus anophagefferens,CCMP1850,20-NOV-11,GSe media,Ammonium in place of nitrate,22,32,7.8,100,12,12,0,30,5,0,8,1100,2,none,1004,400,0,none,40.6508,-73.1524,1,0,25.25,18,8,06-MAY-98,12:00 PM,OTHER,Aquatic: marine,Estuarine,CAM_SMPL_002751,1,1
MMETSP1348,Collier,Jackie,Aplanochytrium stocchinoi,GSBS06,11-JUN-12,artificial seawater with 0.125% Artemia detritus (0.8% agar plates),"artificial seawater (25 grams per liter Instant Ocean), 0.125% freeze dried and ground Artemia (wt:vol), solidified with 0.8% agar",23,25,8,,,,0,0,0,0,,,,,0,,,,40.7,-73.1,1,,25,,,10-JUL-08,,OTHER,Acquatic: marine,"Sediment from Great South Bay, Long Island, NY, USA",CAM_SMPL_002882,1,1
MMETSP0991,Lovejoy,Connie,non described non described,CCMP2098,31-AUG-11,L1 amended sea water,antibiotics final concentrations: penicilin 25mg/L; neomycin 20 mg/L; kanamycin 20 mg/L: nitrate replaced by urea,6,36,8.3,100,24,0,0,0,36,106,,,,,24571,,441,,76.285,-73.0575,75,,,,,20-JUN-98,,Northern Baffin Bay,Acquatic: marine,Arctic Sea Water,CAM_SMPL_002683,,1
MMETSP1349,Collier,Jackie,Aplanochytrium stocchinoi,GSBS06,24-MAY-12,artificial seawater with 0.125% Spartina detritus(0.8% agar plates),"artificial seawater (25 grams per liter Instant Ocean), dried and ground Spartina (0.125% wt:vol), solidified 0.8% agar",23,25,8,,,,0,0,0,0,,,,,0,,,,40.7,-73.1,1,,25,,,10-JUL-08,,OTHER,Acquatic: marine,"Sediment from Great South Bay, Long Island, NY, USA",CAM_SMPL_002892,1,1
MMETSP0985,Lovejoy,Connie,non described non described,CCMP 2436,31-AUG-11,ProV 50 amended seawater,antibiotic final concentrations: penicilin 25mg/L; neomycin 20mg/L; kanamycin 20 mg/L,6,36,7.5,65,24,0,882,50,36.2,0,,,,,24493,,,,76.3208,-75.8172,11,,,,,23-JUN-98,,Baffin Bay,Acquatic: marine,,CAM_SMPL_002665,,1
MMETSP0100_2,Allam,Bassem,,NY0313808BC1,01-APR-11,Minimal Essential Medium with 10% fetal bovine serum,supplemented with 2% extracts of clam muscle tissue homogenates,23,35,7.2,0,,,0,0,0,0,,,,,0,,,,40.49657,-74.17591,10,,,,,01-NOV-03,09:00 AM,Atlantic Ocean,Acquatic: marine,,CAM_SMPL_002392,1,1
MMETSP0098,Allam,Bassem,,NY0313808BC1,01-APR-11,Minimal Essential Medium with 10% fetal bovine serum,,23,35,7.2,0,,,0,0,0,0,,,,,0,,,,40.49657,-74.17591,10,,,,,01-NOV-03,09:00 AM,Atlantic Ocean,Acquatic: marine,,CAM_SMPL_002390,1,1
MMETSP0986,Lovejoy,Connie,non described non described,CCMP2293,31-AUG-11,ProV 50 amended seawater,antibiotic final concentrations: penicilin 25mg/L; neomycin 20mg/L; kanamycin 20 mg/L; NO3 replaced by urea and no NH4Cl,6,32,7.5,100,24,0,882,0,36.2,0,,,,,24493,,0,,78.5922,-74.4922,,,,,,04-OCT-98,,Baffin Bay,Acquatic: marine,Arctic Sea Water,CAM_SMPL_002666,,1
MMETSP0989,Lovejoy,Connie,non described non described,CCMP2293,31-AUG-11,ProV 50 amended seawater,antibiotic final concentrations: penicilin 25mg/L; neomycin 20mg/L; kanamycin 20 mg/L,6,36,7.4,100,24,0,882,50,36.2,0,,,,,24493,,,,78.5922,-74.4922,,,,,,04-OCT-98,,Baffin Bay,Acquatic: marine,Arctic Sea Water,CAM_SMPL_002677,,1
MMETSP0941,Worden,Alexandra,Prasinococcus capsulatus,CCMP1194,10-AUG-11,f/2-Si natural sea water (Eastern Pacific),f/2 for all nutrients except omitted silicate,21,35,8.2,100,14,10,882,0,36,0,,,,,12795,,,,23,-75,,,,,,25-FEB-81,,Gulf of Mexico,Acquatic: marine,Gulf Stream,CAM_SMPL_002767,,0
MMETSP0437,Katz,Laura,Sexangularia sp.,,,ATCC medium 1525 (Seawater 802 medium),0.02% FBS plus antibiotics to prevent bacterial overgrowth.,20,,8,,16,8,,,,,,,,,,,,Enterobacter aerogenes (ATCC 13048),37.96053,-75.3281,0,0,,,,,,Atlantic Ocean,,,CAM_SMPL_002573,0,0
MMETSP0439,Katz,Laura,Stereomyxa ramosa,Chinc5,15-APR-11,ATCC medium 1525 (Seawater 802 medium),Diluted 1:4 in ATCC medium 1405 (HSNW medium),20,,8,,16,8,,,,,,,,,,,,Klebsiella pneumoniae (ATCC 700831),37.93318,-75.37881,0,0,,,,,,Atlantic Ocean,,,CAM_SMPL_002575,0,0
MMETSP1143,Lovejoy,Connie,non described non described,CCMP2298,31-AUG-11,K amended sea water,antibiotics final concentrations: penicilin: 25mg/L; neomycin 20mg/L; kanamycin 20mg/L; salinity corrected with miliQ water,6,18,7.5,100,24,0,882,50,10,504,,11700,,,123766,,0,,77.0014,-77.2383,0,,,,,15-JUN-98,,Baffin Bay,Acquatic: marine,,CAM_SMPL_002906,0,1
MMETSP0974,Lovejoy,Connie,non described non described,CCMP2097,31-AUG-11,L1-Si amended sea water,antibiotics final concentrations: penicilin: 25mg/L; neomycin 20mg/L; kanamycin 20mg/L,6,36,8.3,100,24,0,0,0,36,0,,,,,24571,,441,,77.0014,-77.2383,0,,,,,15-JUN-98,,Baffin Bay,Acquatic: marine,Arctic Sea Ice,CAM_SMPL_002703,,1
MMETSP0413,Katz,Laura,Filamoeba nolandi,NC-AS-23-1,14-MAY-11,Sonneborn's Paramecium medium (ATCC medium 802),,20,,7,,16,8,,,,,,,,,,,,Enterobacter aerogenes ATCC 13048 and mixed bacteria,34.22573,-77.94471,,,,,,,,Atlantic Ocean,Acquatic: marine,"sediment core 23 nautical miles off coast of Wilmington, NC",CAM_SMPL_002547,0,0
MMETSP0328,Jakobsen,Kjetill,Alexandrium minutum,CCMP113,20-APR-11,L1,no modifications,16,25,8,100,12,12,882,0,36.2,106,,,,,24571.2,,,,42.23,-8.8,1,,,,,01-SEP-87,,OTHER,,,CAM_SMPL_002532,1,0
MMETSP0977,Lovejoy,Connie,non described non described,CCMP2097,31-AUG-11,L1-Si amended sea water,antibiotics final concentrations: penicilin 25mg/L; neomycin 20 mg/L; kanamycin 20mg/L,6,36,8.3,250,24,0,882,0,36,0,,,,,24571,,,,77.0014,-77.2383,0,,,,,15-JUN-98,,Baffin Bay,Acquatic: marine,Sea Ice,CAM_SMPL_002658,,1
MMETSP0983,Lovejoy,Connie,non described non described,CCMP 2436,31-AUG-11,ProV 50 amended seawater,"salinity corrected with mili-Q water, antibiotic final concentrations: penicilin 25mg/L; neomycin 20mg/L; kanamycin 20 mg/L; no NH4Cl",6,32,7.5,100,24,0,0,0,36.2,0,,,,,24493,,441,,76.3208,-75.8172,11,,,,,23-JUN-98,,Baffin Bay,Acquatic: marine,,CAM_SMPL_002659,,1
MMETSP0417,Katz,Laura,Mayorella sp,BSH-02190019,06-APR-11,ATCC medium 1525 (Seawater 802 medium),,20,,8,,16,8,,,,,,,,,,,,Klebsiella pneumoniae (ATCC 700831),37.26517,-76.38354,0,0,,,,,,Atlantic Ocean,Acquatic: marine,salt marsh,CAM_SMPL_002549,0,0
MMETSP1141,Lovejoy,Connie,non described non described,CCMP2298,11-OCT-11,K amended sea water,antibiotics final concentrations: penicilin: 25mg/L; neomycin 20mg/L; kanamycin 20mg/L; no NH4Cl added,6,33,7.5,100,24,0,882,0,10,504,,11700,,,123766,,0,,77.0014,-77.2383,0,,,,,15-JUN-98,,Baffin Bay,Acquatic: marine,,CAM_SMPL_002896,0,1
MMETSP0892,Gobler,Christopher,Aureoumbra lagunensis,CCMP1510,01-AUG-11,GSe media,Ammonium in place of nitrate,22,32,7.8,100,12,12,0,100,0.5,0,8,1100,2,none,1004,400,0,none,27.4708,-97.32,1,0,40,30,8,01-JAN-92,12:00 PM,OTHER,Aquatic: marine,Estuarine,CAM_SMPL_002720,1,
MMETSP1095,Caron,David,Chromulina nebulosa,UTEXLB2642,12-DEC-11,DY-V,Added rice grains,18,0,8,300,12,12,,,,,,,,,,,,,36.135,-92.64,,,0,,,16-SEP-76,,"Rush Creek, Arkansas, USA",,,CAM_SMPL_002628,,0
MMETSP1083,Caron,David,Prymnesium parvum,Texoma1,02-FEB-11,f/2 amended seawater,,18,18,8,150,0,24,,,,,,,,,,,,,33.98,-96.67,,,5,,,01-MAR-09,,"Lake Texoma, Oklahoma",,,CAM_SMPL_002612,1,1
MMETSP0008_2,Caron,David,Prymnesium parvum,Texoma1,16-NOV-10,f/2 amended seawater,,18,18,8,150,12,12,,,,,,,,,,,,Uronema Ciliate,33.98,-96.67,,,5,,,01-MAR-09,,"Lake Texoma, Oklahoma",,,CAM_SMPL_002335,1,1
MMETSP0006_2,Caron,David,Prymnesium parvum,Texoma1,15-NOV-10,f/2 amended seawater,none,18,18,8,150,12,12,,,,,,,,,,,,,33.98,-96.67,,,5,,,01-MAR-09,,"Lake Texoma, Oklahoma",,,CAM_SMPL_002333,1,1
MMETSP0891,Gobler,Christopher,Aureoumbra lagunensis,CCMP1510,01-AUG-11,GSe media,Ammonium in place of nitrate,22,32,7.8,100,12,12,0,10,4,0,8,1100,2,none,1004,400,0,none,27.4708,-97.32,1,0,40,30,8,01-JAN-92,12:00 PM,OTHER,Aquatic: marine,Estuarine,CAM_SMPL_002716,1,
MMETSP0216,Lynn,Denis,Protocruzia adherens,Boccale,17-NOV-11,"Artificial seawater prepared according to Allen's formula (Allen, 1914)","Enriched with Walnes's formula (Bidwell and Spotte, 1985)",23,32,7.8,,,,250,80,70,50,,,,,650,,,Dunaliella tertiolecta,43.47558,10.33003,0.05,0,,,,01-SEP-95,,Ligurian Sea,Acquatic: marine,,CAM_SMPL_002477,0,0
MMETSP0699,Smith,Sarah,Extubocellulus spinifer,CCMP396,10-SEP-11,ASW,Cells grown exponentially in ASW were harvested by centrifugation and re-suspended in fresh ASW with 2.5mg L-1 nocodazole,20,,8,200,24,0,2.97,0,0.2,0.42,,,,,19.73,,,,31.3172,113.56,0,0,,,,01-JAN-68,,Gulf of California (Sea of Cortés),Acquatic: marine,,CAM_SMPL_002827,1,1
MMETSP0697,Smith,Sarah,Extubocellulus spinifer,CCMP396,10-SEP-11,ASW,Cells grown exponentially in ASW were harvested by centrifugation and re-suspended in ASW with no SiO3,20,,8,200,24,0,2.97,0,0.2,0,,,,,19.73,,,,31.3172,113.56,0,0,,,,01-JAN-68,,Gulf of California (Sea of Cortés),Acquatic: marine,,CAM_SMPL_002817,1,1
MMETSP0705,Smith,Sarah,Asterionellopsis glacialis,CCMP134,18-AUG-11,NEPC,,20,,8,200,24,0,0.55,0,0.01,0.11,,,,,16.33,,,,32.655,117.14,0,0,,,,01-MAY-63,,Pacific Ocean,Acquatic: marine,,CAM_SMPL_002828,1,0
MMETSP0708,Smith,Sarah,Asterionellopsis glacialis,CCMP134,24-AUG-11,NEPC,Cells grown exponentially in NEPC were harvested by centrifugation and re-suspended in fresh NEPC with 2.5mg L-1 nocodazole,20,,8,200,24,0,0.55,0,0.01,0.11,,,,,16.33,,,,32.655,117.14,0,0,,,,01-MAY-63,,Pacific Ocean,Acquatic: marine,,CAM_SMPL_002838,1,0
MMETSP0785,Armbrust,Virginia,Bolidomonas pacifica,CCMP 1866,15-OCT-10,Prov50,,20,21,8,166,16,8,882,50,36.2,0,,,,"thiamine, 200 mg; biotin, 10 mL; cyanocobalamin, 1 mL",24.4938,,,,5.5,105,15,,,20,,11-NOV-94,,Pacific Ocean,Acquatic: marine,,CAM_SMPL_002789,,0
MMETSP0200_2,Posewitz,Matthew,Chaetoceros sp.,GSL56,26-JUN-11,f/2 amended seawater,none,29,35,8.5,40,16,8,882,0,36.2,106,,11.7,,,24493.8,,,,40.95118,112.08824,2,1280,40,,,01-JUN-08,,Great Salt Lake,,,CAM_SMPL_002467,1,1
MMETSP0010_2,Armbrust,Virginia,Corethron hystrix,308,02-NOV-10,F/2,,13,21,8,166,16,8,882,0,36.2,106,,,,"thiamine, 200 mg; biotin, 10 mL; cyanocobalamin, 1 mL",24.4938,,,,58.5,0.32,,,,,,01-MAY-84,,North Sea,Acquatic: marine,,CAM_SMPL_002337,,0
MMETSP1324,Vaulot,Daniel,Florenciella sp.,RCC1587,15-JAN-12,K,,15,35,,35,12,12,,,,,,,,,,,,,61,1.983333333,10,,,,,23-JUL-07,,North Sea,Aquatic: marine,,CAM_SMPL_002889,0,0
MMETSP0210,Lynn,Denis,Condylostoma magnum,COL2,20-JAN-12,"autoclaved artificial seawater (Red Sea Salt, Red Sea, http://www.redseafish.com)",,19,33,8.2,300,12,12,0,,0,,,,,,,,,Pheodactylum tricornutum,43.3,10.2,,,33,,,15-MAR-07,10:00 AM,Ligurian Sea,Acquatic: marine,"50-100 cm diameter, 5-10 cm deep, pools on a rocky shore near Livorno, Ligurian Sea",CAM_SMPL_002484,1,0
MMETSP1310,Vaulot,Daniel,Genus nov. species nov.,RCC2339,15-JAN-12,K/2 Ian,,22,35,,40,12,12,,,,,,,,,,,,,34.35,130.0833333,0,,,,,29-JUN-09,,North Pacific Ocean,Aquatic: marine,,CAM_SMPL_002933,0,0
MMETSP0593,Rynearson,Tatiana,Skeletonema japonicum,CCMP2506,09-DEC-11,f/2 amended seawater,,14,36,7.9,180,12,12,883,,36.3,107,,,,,,,,,34.3,132.4,0.5,,,,,01-OCT-02,,Seto Inland Sea,Acquatic: marine,Coastal Waters,CAM_SMPL_002854,1,0
MMETSP0707,Smith,Sarah,Asterionellopsis glacialis,CCMP134,24-AUG-11,NEPC,Cells grown exponentially in NEPC were harvested by centrifugation and re-suspended in NEPC with no NO3-,20,,8,200,24,0,0,0,0.01,0.11,,,,,16.33,,,,32.655,117.14,0,0,,,,01-MAY-63,,Pacific Ocean,Acquatic: marine,,CAM_SMPL_002837,1,0
MMETSP0706,Smith,Sarah,Asterionellopsis glacialis,CCMP134,24-AUG-11,NEPC,Cells grown exponentially in NEPC were harvested by centrifugation and re-suspended in NEPC with no SiO3,20,,8,200,24,0,0.55,0,0.01,0,,,,,16.33,,,,32.655,117.14,0,0,,,,01-MAY-63,,Pacific Ocean,Acquatic: marine,,CAM_SMPL_002836,1,0
MMETSP0199_2,Allen,Eric,Thraustochytrium sp.,LLF1b,24-JUN-11,B1 amended seawater,agar,25,33.5,7.4,,,,7,0.28,400,57,,,,,668,,,,32.86667,117.25,,,33.4,15.2,8.9,07-APR-09,02:45 PM,Pacific Ocean,Organism-Associated,green alga surface (littoral zone),CAM_SMPL_002466,1,1
MMETSP0719,Smith,Sarah,Chaetoceros curvisetus,,19-AUG-11,ASW,Cells grown exponentially in ASW were harvested by centrifugation and re-suspended in fresh ASW with 2.5mg L-1 nocodazole,20,29,8,200,24,0,0,0,0.2,0.42,,,,,19.73,,,,32.9,117.255,0,0,,,,,,Pacific Ocean,Acquatic: marine,mesotrophic coastal ocean,CAM_SMPL_002857,1,0
MMETSP0716,Smith,Sarah,Chaetoceros curvisetus,,12-AUG-11,ASW,,20,,8,200,24,0,2.97,0,0.2,0.42,,,,,19.73,,,,32.9,117.255,0,0,,,,,,Pacific Ocean,Acquatic: marine,mesotrophic coastal ocean,CAM_SMPL_002847,1,0
MMETSP0059,Aurora,Nedelcu,Pyramimonas parkeae,CCMP726,01-JUL-11,f/2-Si,Prepare as for f/2 medium but omit Na2SiO 3 · 9H2O.,20,32,8,40,12,12,880,0,36,0,,,,,24.5,,,,36.64,121.93,,,,,,13-APR-66,,,,,CAM_SMPL_002366,1,1
MMETSP0372,Slamovits,Claudio,Lankesteria abbottii,Grappler Inlet BC,13-JUN-10,uncultivable,uncultivable,,,,,,,,,,,,,,,,,,,48.83375,125.13023,0.2,,,13,,13-JUN-10,07:30 AM,Pacific Ocean,Organism-Associated,intestine of marine tunicate Clavelina huntsmani found in NW Pacific rocky intertidal zone,CAM_SMPL_002541,0,0
MMETSP0042_2,Archibald,John,Lotharella amoebiformis,CCMP2058,17-OCT-10,ESM medium,,20,35,8,55,12,12,1410,0,29,0,,,,,0,,,,26.45291,127.80296,0,0,,,,01-OCT-89,,OTHER,Acquatic: marine,,CAM_SMPL_002350,1,1
MMETSP0234,Govind,Nadathur,Debaryomyces hansenii,J26,14-JUL-11,Yeast-Peptone-Dextrose Broth,5 mmol/L CoSO4*7H2O added at early log phase,25,,6.5,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,CAM_SMPL_002493,1,1
MMETSP1062,Armbrust,Virginia,Ditylum brightwellii,Pop1 (SS4),26-MAY-10,aquil,,13,21,8,166,16,8,882,0,36.2,106,,,,"thiamine, 200 mg; biotin, 10 mL; cyanocobalamin, 1 mL",24.6634,,,,,,,,,,,06-JUN-06,,Pacific Ocean,Acquatic: marine,,CAM_SMPL_002617,1,0
MMETSP0052_2,Smith,David,Polytomella parva,SAG 63-3,15-MAY-11,"0.1% tryptone, 0.2% yeast extract, 0.2% sodium acetate",,22,0,7,,,,0,0,0,0,,,,,0,,,,,,,,,,,05-JUN-49,,OTHER,Aquatic: freshwater,,CAM_SMPL_002376,1,1
MMETSP0053,Dyhrman/Juhl,Sonya/Andrew,Prorocentrum minimum,CCMP1329,30-SEP-11,L1,16N:1P,18,32,8.3,100,14,10,571,0,36,0,,,,,1000,400,,,,,,,,,,,,,,,CAM_SMPL_002377,,1
MMETSP0251_2,Saldarriaga,Juan,Prorocentrum micans,CCCM 845,02-JUN-11,HESNW,no silica,18,30,7,3800,14,10,3,0.11,0.3,0,,,,,0,,,,,,,,,,,,,,,,CAM_SMPL_002495,,0
MMETSP1086,Worden,Alexandra,Cyanoptyche gloeocystis,SAG4.97,27-OCT-11,SVM (Standard Volvox Media). Based on Kirk and Kirk (1983) Dev. Biol. 96:493–506,none,18,,8,200,14,10,500,0,230,0,,2000,,,20,,500,NA,,,,,,,,01-JAN-89,,OTHER,Aquatic: freshwater,,CAM_SMPL_002619,,0
MMETSP0055,Dyhrman/Juhl,Sonya/Andrew,Prorocentrum minimum,CCMP1329,30-SEP-11,L1,Low N (see below).,18,32,8.3,100,14,10,5,0,36,0,,,,,1000,400,0,,,,,,,,,,,,,,CAM_SMPL_002378,,1
MMETSP0057,Dyhrman/Juhl,Sonya/Andrew,Prorocentrum minimum,CCMP1329,30-SEP-11,L1,16N:1P,18,32,8.3,100,14,10,576,0,36,0,,,,,1000,800,0,,,,,,,,,,,,,,CAM_SMPL_002380,,1
MMETSP0253,Saldarriaga,Juan,Noctiluca scintillans,,18-JUL-11,HESNW,no silica,16,30,7,3800,14,10,3,0.11,0.3,0,,,,,0,,,,,,,,,,,12-APR-94,,"Puget Sound, WA",,,CAM_SMPL_002497,0,0
MMETSP1089,Worden,Alexandra,Gloeochaete wittrockiana,SAG46.84,27-OCT-11,DY-V,none,18,,6.8,200,14,10,230,50,10,49,,6,,,10,,,,,,,,,,,01-JUL-73,,OTHER,Aquatic: freshwater,,CAM_SMPL_002627,,0
MMETSP1122,Wilson,William,Symbiodinium sp.,Mp,01-OCT-11,f/2 amended seawater,"f/2 for all nutrients, no Na2SiO3 added",25,34,8.1,200,12,12,882,0,36.2,0,,,,,12794,,,,,,,,,,,,,Pacific Ocean,,,CAM_SMPL_002630,0,0
MMETSP0096,Dyhrman/Juhl,Sonya/Andrew,Alexandrium monilatum,CCMP3105,10-JAN-12,L1,Low P,24,32,8.3,100,14,10,576,0,0.1,0,,,,,1000,400,0,,,,,,,,,,,,,,CAM_SMPL_002382,1,0
MMETSP0146,Dyhrman/Juhl,Sonya/Andrew,Chrysochromulina polylepis,CCMP1757,15-OCT-11,L1,Low P,15,32,8.3,100,14,10,576,0,0.1,0,,,,,1000,400,0,,,,,,,,,,,,,,CAM_SMPL_002434,1,1
MMETSP0147,Dyhrman/Juhl,Sonya/Andrew,Chrysochromulina polylepis,CCMP1757,15-OCT-11,L1,16N:1P,15,32,8.3,100,14,10,576,0,36,0,,,,,1000,800,0,,,,,,,,,,,,,,CAM_SMPL_002435,1,1
MMETSP0316,Stief,Peter,Amphora coffeaeformis,CCMP127,15-APR-11,f/2 + silicate,"f/2 + silicate, adjusted to 1 mM nitrate and amended with 200 µM acetate",15,35,8,0,0,24,1000,0,36,106,0,,,,1000,,,,,,,,,,,,,,,,CAM_SMPL_002502,,1
MMETSP1070,Armbrust,Virginia,Minutocellus polymorphus,NH13,22-AUG-11,f/2,,13,21,8,166,16,8,882,0,36.2,106,,,,"thiamine, 200 mg; biotin, 10 mL; cyanocobalamin, 1 mL",24.6634,,,,,,,,,,,01-MAY-10,,Pacific Ocean,Acquatic: marine,,CAM_SMPL_002634,1,0
MMETSP1124,Wilson,William,Symbiodinium sp.,Mp,01-OCT-11,f/2 amended seawater,"f/2 for all nutrients, no Na2SiO3 added",25,34,8.1,200,12,12,882,0,36.2,0,,,,,12794,,,,,,,,,,,,,Pacific Ocean,,,CAM_SMPL_002637,0,0
MMETSP0104,Palenik,Brian,Paraphysomonas Imperforata,PA2,16-MAY-11,f/4 amended seawater,,20,34,8,20,24,0,441.23,0,18.15,0,,,,,12.25,,,Synechococcus CC9311,,,,,,,,,,,,,CAM_SMPL_002384,1,0
MMETSP0167,Mock,Thomas,Rhodella maculata,CCMP736,23-JUL-11,f/2 amended seawater (without silicate),f/2 amended seawater (without silicate),20,35,8.1,100,24,0,800,0,36,0,,,,,,2400,,,,,,,,,,,,,,,CAM_SMPL_002443,1,1
MMETSP0292,Dyhrman/Juhl,Sonya/Andrew,Heterosigma akashiwo,CCMP2393,06-NOV-11,L1,16N:1P,18,32,8.3,100,14,10,571,0,36,0,,,,,1000,400,0,,,,,,,,,,,,,,CAM_SMPL_002508,1,0
MMETSP0294,Dyhrman/Juhl,Sonya/Andrew,Heterosigma akashiwo,CCMP2393,06-NOV-11,L1,Low N (see below),18,32,8.3,100,14,10,5,0,36,0,,,,,1000,400,0,,,,,,,,,,,,,,CAM_SMPL_002509,1,0
