('Erythrolobus_australicus', 'SRR1300443')
('Nitzschia', 'SRR1294404')
('Odontella_aurita', 'SRR1294405')
('Cylindrotheca_closterium', 'SRR1294406')
('Cryptomonas_paramecium', 'SRR1294407')
('Eutreptiella_gymnastica', 'SRR1294408')
('Guillardia_theta', 'SRR1294409')
('Palpitomonas_bilix', 'SRR1294410')
('Prymnesium_parvum', 'SRR1294411')
('Prymnesium_parvum', 'SRR1294412')
('Acanthoeca', 'SRR1294413')
('Ditylum_brightwellii', 'SRR1294414')
('Ditylum_brightwellii', 'SRR1294415')
('Ditylum_brightwellii', 'SRR1294416')
('Ditylum_brightwellii', 'SRR1294417')
('Ditylum_brightwellii', 'SRR1294418')
('Nephroselmis_pyriformis', 'SRR1294419')
('Picocystis_salinarum', 'SRR1294420')
('Phaeomonas_parva', 'SRR1294421')
('Helicotheca_tamesis', 'SRR1294422')
('uncultured_eukaryote', 'SRR1294423')
('Thalassiosira_oceanica', 'SRR1294424')
('Aplanochytrium', 'SRR1294425')
('Aplanochytrium', 'SRR1294426')
('Dunaliella_tertiolecta', 'SRR1294427')
('Florenciella', 'SRR1294428')
('Florenciella', 'SRR1294429')
('Florenciella', 'SRR1294430')
('Florenciella', 'SRR1294431')
('Florenciella', 'SRR1294432')
('Anophryoides_haemophila', 'SRR1294433')
('Anophryoides_haemophila', 'SRR1294434')
('Anophryoides_haemophila', 'SRR1294435')
('Anophryoides_haemophila', 'SRR1294436')
('Florenciella_parvula', 'SRR1294437')
('Chrysoreinhardia', 'SRR1294438')
('Peridinium_aciculiferum', 'SRR1294439')
('Peridinium_aciculiferum', 'SRR1294440')
('Aplanochytrium_stocchinoi', 'SRR1294441')
('Aplanochytrium_stocchinoi', 'SRR1294442')
('Aplanochytrium_stocchinoi', 'SRR1294443')
('Aplanochytrium_stocchinoi', 'SRR1294444')
('Chaetoceros_affinis', 'SRR1294445')
('Chaetoceros_affinis', 'SRR1294446')
('Chaetoceros_affinis', 'SRR1294447')
('Chaetoceros_affinis', 'SRR1294448')
('Chaetoceros_affinis', 'SRR1294449')
('Chaetoceros_affinis', 'SRR1294450')
('Chaetoceros_affinis', 'SRR1294451')
('Chaetoceros_affinis', 'SRR1294452')
('Chaetoceros_affinis', 'SRR1294453')
('Chaetoceros_curvisetus', 'SRR1294454')
('Chaetoceros_curvisetus', 'SRR1294455')
('Chaetoceros_curvisetus', 'SRR1294456')
('Chaetoceros_curvisetus', 'SRR1294457')
('Chlamydomonas_leiostraca', 'SRR1294458')
('Chlamydomonas_chlamydogama', 'SRR1294459')
('Blepharisma_japonicum', 'SRR1294460')
('Akashiwo_sanguinea', 'SRR1294461')
('Akashiwo_sanguinea', 'SRR1294462')
('Akashiwo_sanguinea', 'SRR1294463')
('Akashiwo_sanguinea', 'SRR1294464')
('Thalassiosira_weissflogii', 'SRR1294465')
('Thalassiosira_weissflogii', 'SRR1294466')
('Micromonas', 'SRR1296697')
('Tetraselmis_astigmatica', 'SRR1296698')
('Geminigera_cryophila', 'SRR1296699')
('Myrionecta_rubra', 'SRR1296700')
('Dinophysis_acuminata', 'SRR1296701')
('Pyrodinium_bahamense', 'SRR1296702')
('Amoebophrya_sp.', 'SRR1296703')
('Alexandrium_catenella', 'SRR1296704')
('Gymnodinium_catenatum', 'SRR1296705')
('Striatella_unipunctata', 'SRR1296706')
('Rhizosolenia_setigera', 'SRR1296707')
('Thalassionema_frauenfeldii', 'SRR1296708')
('Bolidomonas_pacifica', 'SRR1296709')
('Prymnesium_parvum', 'SRR1296710')
('Goniomonas', 'SRR1296711')
('Karenia_brevis', 'SRR1296712')
('Amphora_coffeiformis', 'SRR1296713')
('Karenia_brevis', 'SRR1296714')
('Amphora_coffeiformis', 'SRR1296715')
('Skeletonema_marinoi', 'SRR1296716')
('Skeletonema_marinoi', 'SRR1296717')
('Astrosyne_radiata', 'SRR1296718')
('Cyclophora_tenuis', 'SRR1296719')
('Pseudo-nitzschia_arenysensis', 'SRR1296720')
('Pseudo-nitzschia_delicatissima', 'SRR1296721')
('Leptocylindrus_aporus', 'SRR1296722')
('Leptocylindrus_danicus', 'SRR1296723')
('Goniomonas_pacifica', 'SRR1296724')
('Pteridomonas_danica', 'SRR1296725')
('Pteridomonas_danica', 'SRR1296726')
('uncultured_eukaryote', 'SRR1296727')
('Bicosoecida_sp._CB-2014', 'SRR1294380')
('Bicosoecida_sp._CB-2014', 'SRR1294381')
('Bicosoecida_sp._CB-2014', 'SRR1294382')
('Bicosoecida_sp._CB-2014', 'SRR1294383')
('Dinobryon', 'SRR1294384')
('Alexandrium_fundyense', 'SRR1294385')
('Alexandrium_fundyense', 'SRR1294386')
('Alexandrium_fundyense', 'SRR1294387')
('Alexandrium_fundyense', 'SRR1294388')
('Alexandrium_fundyense', 'SRR1294389')
('Alexandrium_fundyense', 'SRR1294390')
('Amphidinium_carterae', 'SRR1294391')
('Amphidinium_carterae', 'SRR1294392')
('Amphidinium_carterae', 'SRR1294393')
('Amphidinium_carterae', 'SRR1294394')
('Pseudo-nitzschia_fraudulenta', 'SRR1294395')
('Perkinsus_marinus', 'SRR1294396')
('Perkinsus_marinus', 'SRR1294397')
