,SampleName,Run.x,Phylum,Input.Reads,Surviving.Reads,Percent.Surviving,n_seqs.x,smallest.x,largest.x,n_bases.x,mean_len.x,n_under_200.x,n_over_1k.x,n_over_10k.x,n_with_orf.x,mean_orf_percent.x,n90.x,n70.x,n50.x,n30.x,n10.x,gc.x,gc_skew.x,at_skew.x,cpg_ratio.x,linguistic_complexity.x,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,score.x,optimal_score.x,cutoff.x,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,Complete_eukaryotic,Fragmented_eukaryotic,Missing_eukaryotic,Total_eukaryotic,Complete_eukaryotic_BUSCO_perc,Complete_protist,Fragmented_protist,Missing_protist,Total_protist,Complete_protist_BUSCO_perc,Unique_kmers_assembly,num_reads_kept_diginorm,total_reads_before_diginorm,perc_kept_diginorm,proportion_kept_diginorm,num_kmers_reads_diginorm,fp_rate_diginorm
129,MMETSP0199,SRR1296958,Labyrinthista,23930123,23903224,99.89,24103,201,28351,19901998,825.70626,0,6877,2,12441,84.94001,354,778,1229,1759,2827,0.51287,0.00984,0.01092,2.05133,0.1617,23903224,23064274,0.9649,21374424,0.89421,1689850,16876,506462,0.02545,8201,0.34025,780,0.03236,14265,0.59184,908,0.03767,0.42881,0.5726,0.32284,16562,16562,0.68713,1.3106,10697,0.84648,5581,0.44164,5163,0.40856,4586,0.3629,4304,0.34059,3800,0.3007,0.45404,234,43,26,303,0.772277228,163,34,37,234,0.696581197,15715135,NA,NA,NA,NA,NA,NA
130,MMETSP0200,SRR1296891,Bacillariophyta,32010529,31886226,99.61,17588,201,15996,24797629,1409.9175,0,9055,22,11607,72.96992,697,1420,2114,3105,5224,0.41168,0.00458,0.003,1.66822,0.23457,31886226,30608412,0.95993,28412015,0.89104,2196397,13646,725888,0.02927,6417,0.36485,638,0.03627,4392,0.24972,1752,0.09961,0.42735,0.546,0.41459,562,562,0.81805,0.0331,477,0.0281,240,0.01414,222,0.01308,207,0.01219,201,0.01184,178,0.01048,0.00979,247,25,31,303,0.815181518,191,26,17,234,0.816239316,760882,18926918,63896718,29.60%,0.296,66791300,0
131,MMETSP0201,SRR1296743,Dinophyta,27975540,27937404,99.86,169586,201,9438,106577612,628.45761,0,29777,0,68650,92.59596,267,513,921,1462,2434,0.53395,0.00832,0.00275,1.95559,0.12449,27937404,23566418,0.84354,19785976,0.70823,3780442,80279,1379688,0.01295,35691,0.21046,1930,0.01138,131813,0.77726,3637,0.02145,0.34714,0.48602,0.56769,84768,84768,0.49985,0.94908,65804,0.73675,34001,0.38068,30564,0.3422,26744,0.29943,24811,0.27779,22233,0.24893,0.34299,206,42,55,303,0.679867987,182,19,33,234,0.777777778,106923384,46602315,55912854,83.30%,0.833,230997710,0.002
132,MMETSP0202,SRR1296744,Dinophyta,22055450,22013438,99.81,137008,201,6501,77044947,562.33904,0,20288,0,49831,90.60013,251,446,785,1230,1913,0.53739,0.00721,0.00202,1.96225,0.11475,22013438,17768906,0.80718,14878878,0.6759,2890028,56682,1055803,0.0137,25580,0.1867,1613,0.01177,104819,0.76506,3845,0.02806,0.33546,0.44231,0.51556,67889,67889,0.49551,0.87355,56573,0.72795,28853,0.37126,26762,0.34436,24308,0.31278,22836,0.29384,20669,0.26596,0.36606,190,49,64,303,0.627062706,145,32,57,234,0.61965812,71552209,35372602,44068817,80.30%,0.803,200297341,0.001
133,MMETSP0205,SRR1296783,Ciliophora,27839201,27795914,99.84,33076,201,6043,20046414,606.07129,0,4942,0,9374,61.89428,301,539,775,1033,1474,0.33767,0.03629,0.04837,1.39408,0.11668,27795914,25951489,0.93364,24068546,0.8659,1882943,14088,447995,0.02235,7020,0.21224,870,0.0263,16561,0.5007,3126,0.09451,0.37054,0.48455,0.37075,24007,24007,0.72581,0.93836,20729,0.81023,10550,0.41237,10109,0.39513,9361,0.36589,8829,0.3451,8054,0.31481,0.38362,131,71,101,303,0.432343234,105,17,112,234,0.448717949,17631786,14404616,55635048,25.90%,0.259,83333763,0
134,MMETSP0206,SRR1296928,Ciliophora,14032283,13602653,96.94,25681,201,7254,13348531,519.78237,0,2531,0,6913,76.04853,258,423,641,934,1473,0.40748,0.0199,0.02587,1.76251,0.10427,13603823,12072626,0.88744,10896117,0.80096,1176509,9658,431341,0.03231,5542,0.2158,989,0.03851,17690,0.68884,1179,0.04591,0.32245,0.46864,0.36479,16410,16410,0.63899,1.04642,14027,0.89446,7247,0.46212,7003,0.44656,6572,0.41908,6420,0.40939,6094,0.3886,0.47401,114,69,120,303,0.376237624,111,22,101,234,0.474358974,10313804,9167722,27634076,33.20%,0.332,68146933,0
135,MMETSP0208,SRR1296951,Ciliophora,33537420,33534966,99.99,42764,201,18556,40395280,944.60948,0,12331,39,9704,37.48547,375,879,1528,2603,4803,0.50355,-0.00109,0.03149,1.73038,0.1674,33534966,31870118,0.95035,29487923,0.87932,2382195,22766,1150065,0.02847,11360,0.26564,1391,0.03253,26779,0.6262,1075,0.02514,0.44394,0.60335,0.53088,28140,28140,0.65803,1.21215,20722,0.89261,10955,0.47189,10287,0.44312,9368,0.40353,8992,0.38734,8531,0.36748,0.48136,201,24,78,303,0.663366337,165,18,51,234,0.705128205,40668014,NA,NA,NA,NA,NA,NA
136,MMETSP0209,SRR1296935,Ciliophora,32610474,32607982,99.99,42255,201,17725,28684534,678.84355,0,7853,4,20826,96.24533,303,577,923,1421,2519,0.35829,0.01767,0.03511,1.18711,0.12571,32608101,30027689,0.92087,25518491,0.78258,4509198,29052,846842,0.02952,15586,0.36886,1906,0.04511,23809,0.56346,1771,0.04191,0.29747,0.46046,0.46116,28276,28276,0.66918,1.25666,17429,0.77459,9279,0.41238,8501,0.37781,7251,0.32225,6642,0.29519,5790,0.25732,0.43865,161,58,84,303,0.531353135,98,37,99,234,0.418803419,26314057,20506158,65218344,31.40%,0.314,84300027,0
137,MMETSP0210,SRR1296902,Ciliophora,26039134,26036178,99.99,37783,201,17352,25617255,678.01008,0,6755,18,423,23.07712,305,570,902,1392,2673,0.33492,0.04627,0.0353,1.63281,0.1257,26036178,24755249,0.9508,22166682,0.85138,2588567,21597,443978,0.01733,9478,0.25085,931,0.02464,22583,0.5977,1323,0.03502,0.39306,0.55188,0.49499,24723,24723,0.65434,0.94301,19508,0.7441,9939,0.37911,9062,0.34565,7947,0.30312,7374,0.28127,6644,0.25342,0.29883,213,33,57,303,0.702970297,165,23,46,234,0.705128205,20732833,16832195,52075278,32.30%,0.323,77289850,0
138,MMETSP0211,SRR1296908,Ciliophora,32637722,32634002,99.99,44971,201,9384,32157484,715.07158,0,9676,0,6578,40.79137,314,627,1005,1515,2543,0.44613,0.01571,0.0391,1.33455,0.13604,32634002,30568266,0.9367,27523769,0.84341,3044497,27265,991648,0.03084,15058,0.33484,2019,0.0449,24267,0.53961,1919,0.04267,0.3594,0.51295,0.51758,32184,32184,0.71566,1.33438,21065,0.87338,11059,0.45852,10250,0.42498,9128,0.37846,8514,0.353,7673,0.31813,0.45737,173,55,75,303,0.570957096,122,36,76,234,0.521367521,24594568,21680997,65271429,33.20%,0.332,91185015,0
139,MMETSP0213,SRR1296906,Ciliophora,26680921,26677986,99.99,43586,201,15999,23438257,537.74737,0,4911,4,9811,67.83975,254,422,681,1054,1881,0.461,0.01193,0.03782,1.97639,0.10953,26677986,24018849,0.90032,19797042,0.74207,4221807,25813,613689,0.02618,14473,0.33206,1275,0.02925,30691,0.70415,1564,0.03588,0.23284,0.39105,0.41883,21752,21752,0.49906,0.86599,15988,0.63652,8095,0.32228,7145,0.28446,5977,0.23796,5366,0.21363,4422,0.17605,0.26702,159,57,87,303,0.524752475,116,37,81,234,0.495726496,17733142,2856,2856,100.00%,1,85381,0
140,MMETSP0216,SRR1296823,Ciliophora,36032186,36027002,99.99,65706,201,8511,43583004,663.30326,0,12162,0,26551,81.83852,289,562,929,1441,2480,0.42849,0.00775,0.00636,1.6914,0.1316,36027002,32189283,0.89348,25678848,0.71277,6510435,48040,1424651,0.03269,26668,0.40587,2701,0.04111,38912,0.59221,3423,0.0521,0.23699,0.32145,0.42548,41197,41197,0.62699,0.83476,27152,0.55017,13056,0.26455,10478,0.21231,7917,0.16042,6812,0.13803,5461,0.11065,0.20872,201,68,34,303,0.663366337,139,50,45,234,0.594017094,39070407,29307483,72059133,40.70%,0.407,130496614,0
141,MMETSP0223,SRR1294464,Dinophyta,4108272,4107044,99.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312352,NA,NA,NA,NA,NA,NA
142,MMETSP0223,SRR1294461,Dinophyta,8051307,7986970,99.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312352,NA,NA,NA,NA,NA,NA
143,MMETSP0223,SRR1294462,Dinophyta,4193107,4191930,99.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312352,NA,NA,NA,NA,NA,NA
144,MMETSP0223,SRR1294463,Dinophyta,4213064,4211738,99.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312352,NA,NA,NA,NA,NA,NA
145,MMETSP0224,SRR1296741,Dinophyta,21540771,21540213,100,74092,201,7319,53911766,727.63275,0,17799,0,35063,90.47349,303,662,1105,1611,2488,0.58781,0.00432,0,1.94226,0.14024,21540213,19182603,0.89055,16351120,0.7591,2831483,39234,886901,0.01645,16730,0.2258,1144,0.01544,47627,0.64281,2092,0.02824,0.39687,0.51751,0.52909,45516,45516,0.61432,0.95367,36063,0.75561,18538,0.38842,16861,0.35328,15058,0.3155,14164,0.29677,12950,0.27133,0.3612,216,35,52,303,0.712871287,186,19,29,234,0.794871795,51646151,27202560,43080899,63.10%,0.631,121701914,0
146,MMETSP0225,SRR1300228,Dinophyta,27436400,26571295,96.85,849,201,1118,240204,282.9258,0,1,0,10,84.0011,219,243,276,328,424,0.53974,0.00549,0.01708,2.2163,0.05913,26571295,13859467,0.5216,1718182,0.06466,12141285,837,3374,0.01405,129,0.15194,2,0.00236,90,0.10601,510,0.60071,0.00144,0.00487,0.33377,268,268,0.31567,0.52344,236,0.46094,132,0.25781,132,0.25781,131,0.25586,125,0.24414,98,0.19141,0.2771,1,0,302,303,0.00330033,1,4,229,234,0.004273504,151884,3579558,54007673,6.60%,0.066,20627303,0
147,MMETSP0227,SRR1296751,Dinophyta,29712912,29710303,99.99,103802,201,11588,59720431,575.33025,0,14462,2,37449,90.62943,259,448,776,1268,2236,0.57112,0.0094,-0.00312,1.94467,0.11323,29710303,24037882,0.80908,17828018,0.60006,6209864,75600,1462271,0.02449,31887,0.30719,2597,0.02502,65329,0.62936,5827,0.05614,0.20002,0.34608,0.5312,62009,62009,0.59738,0.83304,46433,0.62379,22931,0.30806,20238,0.27188,16819,0.22595,14935,0.20064,12298,0.16521,0.26553,196,53,54,303,0.646864686,170,34,30,234,0.726495726,46168982,34728165,59423135,58.40%,0.584,168219207,0.001
148,MMETSP0228,SRR1296738,Dinophyta,23434796,23433605,99.99,112970,201,7490,70176876,621.19922,0,19031,0,50454,95.06667,277,515,857,1308,2145,0.65742,0.00585,0.00209,2.08146,0.11669,23433605,19808166,0.84529,15658318,0.6682,4149848,63689,1276339,0.01819,29476,0.26092,1816,0.01608,77689,0.6877,3900,0.03452,0.29859,0.407,0.50569,14636,14636,0.59525,0.18697,11961,0.1528,6121,0.07819,5580,0.07128,5031,0.06427,4715,0.06023,4314,0.05511,0.07375,204,46,53,303,0.673267327,166,33,35,234,0.709401709,12354635,34433527,46868201,73.50%,0.735,172519308,0.001
149,MMETSP0229,SRR1300467,Dinophyta,31325330,30295222,96.71,321,201,495,89287,278.15265,0,0,0,3,85.08741,224,244,270,310,416,0.54364,0.01636,0.00297,2.08072,0.05982,30295222,13019943,0.42977,1571003,0.05186,11448940,314,947,0.01061,73,0.22741,0,0,30,0.09346,231,0.71963,0.00071,0.00104,0.01231,78,78,0.24299,0.13636,73,0.12762,37,0.06469,37,0.06469,36,0.06294,36,0.06294,29,0.0507,0.06319,0,1,302,303,0,1,1,232,234,0.004273504,75019,3790603,61620523,6.20%,0.062,24884501,0
150,MMETSP0232,SRR1296968,Ascomycota,18927712,18924305,99.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,286,0.83626,0.06755,190,0.04487,7,0.00165,3,0.00071,1,0.00024,1,0.00024,1,0.00024,0.00703,2,7,294,303,0.00660066,5,4,225,234,0.021367521,132393,NA,NA,NA,NA,NA,NA
151,MMETSP0233,SRR1296969,Ascomycota,14205627,14203833,99.99,9596,201,21000,9730469,1014.01303,0,2949,39,5059,72.45224,404,960,1626,2749,6693,0.35959,0.01252,0.00519,1.69982,0.1693,14203833,13998210,0.98552,13509732,0.95113,488478,5472,131810,0.01355,2208,0.2301,102,0.01063,7061,0.73583,444,0.04627,0.54322,0.60946,0.49992,5949,5949,0.61995,1.2679,4360,0.92924,2342,0.49915,2126,0.45311,1875,0.39962,1802,0.38406,1726,0.36786,0.46833,247,43,13,303,0.815181518,154,23,57,234,0.658119658,9146022,NA,NA,NA,NA,NA,NA
152,MMETSP0234,SRR1296970,Ascomycota,15682580,15680545,99.99,9454,201,20191,10096146,1067.92321,0,3101,49,5066,70.96074,423,1042,1763,2996,7409,0.35892,0.00995,0.005,1.70317,0.17509,15680545,15343157,0.97848,14857645,0.94752,485512,5574,266255,0.02637,2422,0.25619,181,0.01915,6723,0.71113,493,0.05215,0.51756,0.5679,0.25794,6192,6192,0.65496,1.29161,4412,0.92032,2385,0.4975,2177,0.45411,1906,0.39758,1838,0.3834,1760,0.36713,0.47004,250,41,12,303,0.825082508,155,19,60,234,0.662393162,9470259,NA,NA,NA,NA,NA,NA
153,MMETSP0235,SRR1296971,Ascomycota,6149256,6148733,99.99,9594,201,13245,6280959,654.67573,0,1603,8,3673,81.67738,274,528,940,1565,3286,0.36611,0.01444,0.01125,1.67757,0.12356,6148733,5945885,0.96701,5667463,0.92173,278422,4094,83051,0.01322,1674,0.17448,64,0.00667,8026,0.83656,304,0.03169,0.45989,0.49239,0.31503,4150,4150,0.43256,1.1271,3438,0.93373,1761,0.47827,1652,0.44867,1507,0.40929,1473,0.40005,1430,0.38838,0.46585,147,83,73,303,0.485148515,106,24,104,234,0.452991453,5895060,NA,NA,NA,NA,NA,NA
154,MMETSP0251,SRR1300466,Dinophyta,70683384,69665797,98.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6022,6022,0.32291,2.26306,1808,0.67944,924,0.34724,822,0.30891,761,0.28598,692,0.26005,591,0.2221,0.31882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2666866,15629913,140349076,11.10%,0.111,314425445,0.005
155,MMETSP0252,SRR1300465,Dinophyta,30299389,30071013,99.25,4,204,682,1742,435.5,0,0,0,0,48.22044,204,580,682,682,682,0.52067,0.13561,-0.02994,2.38157,0.07922,30071013,5542336,0.18431,57507,0.00191,5484829,4,14,0.00804,1,0.25,0,0,0,0,2,0.5,2.00E-05,0,0,3,3,0.75,0.00243,2,0.00162,1,0.00081,1,0.00081,1,0.00081,1,0.00081,1,0.00081,0.00095,0,0,303,303,0,0,0,234,234,0,838,7610938,60370388,12.60%,0.126,160864189,0
156,MMETSP0253,SRR1296929,Dinophyta,24984128,24976071,99.97,66402,201,10010,58343399,878.63918,0,21502,1,36656,87.83218,377,864,1326,1859,2896,0.55763,0.00359,0.00161,1.95298,0.16705,24976718,22566921,0.90352,19728070,0.78986,2838851,38979,1046942,0.01794,16287,0.24528,1416,0.02132,35485,0.5344,2028,0.03054,0.40834,0.56087,0.53597,47625,47625,0.71722,1.05251,38040,0.84068,19655,0.43437,18477,0.40834,16861,0.37263,16225,0.35857,15459,0.34164,0.46123,232,20,51,303,0.765676568,197,13,24,234,0.841880342,48477360,32831490,49959957,65.70%,0.657,135962941,0
157,MMETSP0258,SRR1296757,Dinophyta,26123949,26021248,99.61,58916,201,13057,54227008,920.41225,0,19600,8,33304,92.35718,382,933,1441,2068,3352,0.54288,0.00713,0,1.88872,0.16987,26021248,23999557,0.92231,21819247,0.83852,2180310,29535,681878,0.01257,10696,0.18155,800,0.01358,29939,0.50816,1739,0.02952,0.49294,0.62874,0.57836,40809,40809,0.69266,0.91958,33877,0.76337,17383,0.3917,16165,0.36426,14891,0.33555,14210,0.3202,13107,0.29535,0.34691,217,29,57,303,0.716171617,190,14,30,234,0.811965812,49739788,30227986,52144240,58.00%,0.58,100902198,0
158,MMETSP0259,SRR1296758,Dinophyta,28648014,28537713,99.61,61314,201,8737,54611358,890.68333,0,20063,0,33917,91.73202,365,911,1404,1982,3073,0.54264,0.00626,-0.00017,1.89069,0.16644,28537713,26266358,0.92041,23962967,0.83969,2303391,32524,660226,0.01209,11142,0.18172,808,0.01318,30353,0.49504,2407,0.03926,0.49363,0.60298,0.54422,42174,42174,0.68784,0.92373,35547,0.77858,18108,0.39662,16992,0.37217,15755,0.34508,15076,0.33021,13925,0.305,0.3603,222,28,53,303,0.732673267,198,11,25,234,0.846153846,46861906,30939493,57184829,54.10%,0.541,105908462,0
159,MMETSP0267,SRR1296752,Dinophyta,25887799,25850118,99.85,111341,201,11916,69873241,627.56075,0,19012,3,46797,92.26943,280,512,867,1356,2267,0.6519,0.00816,0.0038,2.10542,0.11745,25850118,22114266,0.85548,17647506,0.68269,4466760,65700,1486942,0.02128,29715,0.26688,2194,0.01971,67285,0.60431,4707,0.04228,0.28581,0.41339,0.42043,73130,73130,0.65681,0.9181,56714,0.712,28886,0.36264,25751,0.32329,22112,0.2776,20196,0.25355,17513,0.21986,0.31115,199,36,68,303,0.656765677,174,26,34,234,0.743589744,55764605,37617,37617,100.00%,1,1118642,0
160,MMETSP0268,SRR1296753,Dinophyta,34244332,34193622,99.85,68103,201,6111,31813104,467.1322,0,5149,0,20659,94.85594,241,354,537,852,1536,0.6396,0.01053,0.00731,2.07862,0.09396,34193622,23924623,0.69968,16445629,0.48096,7478994,46694,176508,0.00555,8309,0.12201,366,0.00537,1791,0.0263,2764,0.04059,0.16761,0.25398,0.44521,59481,59481,0.8734,0.65927,39428,0.43701,17512,0.1941,10151,0.11251,5435,0.06024,3788,0.04198,2127,0.02357,0.15246,128,57,118,303,0.422442244,107,45,82,234,0.457264957,28049369,45427660,68437857,66.40%,0.664,226391398,0.002
161,MMETSP0269,SRR1296754,Dinophyta,29323736,29280350,99.85,115754,201,11905,73775595,637.34813,0,20504,3,48903,92.22453,282,524,894,1398,2289,0.65402,0.00917,0.00419,2.11011,0.11844,29280350,25224160,0.86147,20354600,0.69516,4869560,67499,1699792,0.02304,30987,0.2677,2420,0.02091,66830,0.57735,5221,0.0451,0.29452,0.42949,0.48265,78515,78515,0.67829,0.92013,60512,0.70915,30674,0.35947,27185,0.31859,23266,0.27266,21255,0.24909,18481,0.21658,0.30656,201,39,63,303,0.663366337,168,32,34,234,0.717948718,58537270,40621990,58604025,69.30%,0.693,206014165,0.001
162,MMETSP0270,SRR1296759,Dinophyta,36147274,36140306,99.98,149312,201,17259,105043658,703.51786,0,31693,16,68669,92.98074,294,607,1060,1635,2690,0.59767,0.00831,0.00211,2.07912,0.1333,36140306,31028260,0.85855,24987600,0.69141,6040660,96370,1834440,0.01746,42230,0.28283,2543,0.01703,95420,0.63906,4596,0.03078,0.2947,0.45258,0.52377,95013,95013,0.63634,0.88806,70352,0.65756,35997,0.33646,31353,0.29305,26417,0.24691,24048,0.22477,20832,0.19471,0.3022,205,39,59,303,0.676567657,173,27,34,234,0.739316239,94410666,53098777,72287488,73.50%,0.735,222292952,0.002
163,MMETSP0271,SRR1296760,Dinophyta,36131119,36123959,99.98,153198,201,14115,105343189,687.6277,0,31210,12,68611,92.73649,289,586,1029,1599,2654,0.59689,0.00894,0.00206,2.07837,0.1309,36123959,31085083,0.86051,25379125,0.70256,5705958,94608,1894444,0.01798,43067,0.28112,2620,0.0171,101679,0.66371,4860,0.03172,0.3101,0.46071,0.50383,94225,94225,0.61505,0.88671,70001,0.65875,35679,0.33576,31170,0.29333,26461,0.24901,24168,0.22743,21109,0.19865,0.30276,205,39,59,303,0.676567657,172,23,39,234,0.735042735,101175906,51727696,72254981,71.60%,0.716,224232654,0.002
164,MMETSP0272,SRR1296761,Dinophyta,30815547,30809495,99.98,149749,201,11623,98968228,660.89408,0,28579,4,65530,92.9914,283,553,967,1511,2470,0.5977,0.00892,0.00282,2.078,0.12727,30809495,26159909,0.84909,21051406,0.68328,5108503,91111,1848652,0.01868,41707,0.27851,2660,0.01776,102071,0.68161,4796,0.03203,0.30997,0.44126,0.49809,92582,92582,0.61825,0.8848,69016,0.65958,35347,0.33781,30963,0.29591,26221,0.25059,23945,0.22884,20945,0.20017,0.30675,204,35,64,303,0.673267327,171,22,41,234,0.730769231,86237347,47467876,61624957,77.00%,0.77,209018667,0.001
165,MMETSP0286,SRR1296739,Haptophyta,25239347,25236723,99.99,43188,201,6636,25296038,585.71913,0,5877,0,15410,79.94227,276,479,754,1121,1951,0.63436,0.01509,7.00E-05,2.32364,0.11344,25236723,23065550,0.91397,21081108,0.83533,1984442,19289,1333665,0.05272,11676,0.27035,2273,0.05263,24564,0.56877,4745,0.10987,0.31754,0.41453,0.08051,32120,32120,0.74373,0.98634,26222,0.80522,13235,0.40642,12430,0.3817,11143,0.34218,10224,0.31396,8992,0.27612,0.34941,92,56,155,303,0.303630363,86,28,120,234,0.367521368,19023214,16321559,50476016,32.30%,0.323,87789344,0
166,MMETSP0287,SRR1296740,Haptophyta,41716814,41713265,99.99,54406,201,8457,42148335,774.70012,0,14764,0,26268,79.19151,333,742,1124,1562,2533,0.60447,0.00639,0.00244,2.25591,0.14768,41713265,39399293,0.94453,36513821,0.87535,2885472,27566,1720399,0.04082,13275,0.244,2101,0.03862,35136,0.64581,3604,0.06624,0.40506,0.46347,0.03863,34343,34343,0.63124,1.0164,27273,0.80716,13942,0.41262,12945,0.38311,11707,0.34647,10942,0.32383,9744,0.28838,0.3662,203,52,48,303,0.669966997,153,32,49,234,0.653846154,37943176,24863782,83430002,29.80%,0.298,127018292,0
167,MMETSP0288,SRR1296979,Apicomplexa,24445873,24419146,99.89,45732,201,9119,39984563,874.32352,0,13682,0,20802,71.16577,359,838,1402,2060,3214,0.59093,0.01079,0.00125,1.85463,0.15773,24419146,22556621,0.92373,20331393,0.8326,2225228,32946,1721561,0.04306,16361,0.35776,1828,0.03997,23363,0.51087,3651,0.07983,0.33876,0.43627,0.40839,33619,33619,0.73513,1.23332,21747,0.79779,11560,0.42408,10221,0.37496,8619,0.31619,7922,0.29062,7049,0.25859,0.43122,231,33,39,303,0.762376238,198,26,10,234,0.846153846,32246021,22625963,48864822,46.30%,0.463,95078422,0
168,MMETSP0290,SRR1296980,Unknown,21596941,21573523,99.89,56191,201,10939,39916892,710.37874,0,12274,1,19727,70.79276,301,620,1059,1608,2664,0.53156,0.03053,0.00886,1.60139,0.13479,21573523,19816457,0.91855,18056352,0.83697,1760105,32028,1158575,0.02902,13734,0.24442,1433,0.0255,40366,0.71837,1773,0.03155,0.39286,0.5152,0.44457,33350,33350,0.59351,1.16405,25589,0.89316,13240,0.46213,12257,0.42782,11050,0.38569,10616,0.37054,10093,0.35229,0.45493,202,50,51,303,0.666666667,165,36,33,234,0.705128205,43155717,19852954,43170356,46.00%,0.46,99241660,0
169,MMETSP0292,SRR1296913,Ochrophyta,32622070,32584258,99.88,44889,201,7616,26301972,585.93357,0,6445,0,15489,79.71453,274,480,769,1143,1879,0.5301,0.0178,0.01036,1.95043,0.11571,32584258,29176788,0.89543,25072550,0.76947,4104238,24950,777629,0.02957,12770,0.28448,1473,0.03281,28909,0.64401,2640,0.05881,0.29977,0.37209,0.07692,28302,28302,0.63049,0.93041,22199,0.72977,11149,0.36651,10078,0.33131,8656,0.28456,7819,0.25704,6705,0.22042,0.3097,161,96,46,303,0.531353135,113,55,66,234,0.482905983,22905647,17236794,65206259,26.40%,0.264,99665469,0
170,MMETSP0294,SRR1296914,Ochrophyta,31175731,31138571,99.88,52840,201,13981,33110939,626.6264,0,8875,3,19652,79.61202,288,526,841,1251,2020,0.52946,0.01639,0.00959,1.94844,0.12231,31138571,28240770,0.90694,24637750,0.79123,3603020,31661,1032064,0.03117,16189,0.30638,1770,0.0335,30364,0.57464,3177,0.06012,0.2963,0.41026,0.3317,35867,35867,0.67879,0.93115,27921,0.72486,14265,0.37034,12917,0.33534,11174,0.29009,10169,0.264,8769,0.22765,0.31574,200,74,29,303,0.660066007,150,49,35,234,0.641025641,29976776,21671237,62314228,34.80%,0.348,117745093,0
171,MMETSP0295,SRR1296915,Ochrophyta,23209198,23181881,99.88,45346,201,9009,26615961,586.95279,0,6507,0,15515,79.42059,275,482,766,1146,1904,0.52614,0.01498,0.00845,1.92882,0.11616,23181881,20451208,0.88221,17331993,0.74765,3119215,25280,830337,0.0312,12990,0.28646,1395,0.03076,30169,0.66531,2295,0.05061,0.27649,0.38763,0.37302,899,899,0.52025,0.02984,777,0.02579,386,0.01281,362,0.01202,327,0.01085,311,0.01032,288,0.00956,0.00926,152,102,49,303,0.501650165,126,44,64,234,0.538461538,845076,15938924,46391046,34.40%,0.344,95146131,0
