,Run,Complete,Fragmented,Missing,Total,Complete_BUSCO_perc
Chlamydomonas_chlamydogama_SRR1294459,SRR1294459,256,81,92,429,0.596736597
Alexandrium_fundyense_SRR1294388,SRR1294388,11,15,403,429,0.025641026
Goniomonas_SRR1296711,SRR1296711,166,65,198,429,0.386946387
Chaetoceros_affinis_SRR1294448,SRR1294448,42,39,348,429,0.097902098
Akashiwo_sanguinea_SRR1294464,SRR1294464,0,0,429,429,0
Dinophysis_acuminata_SRR1296701,SRR1296701,231,61,137,429,0.538461538
Bicosoecida_sp._CB-2014_SRR1294383,SRR1294383,122,85,222,429,0.284382284
Chaetoceros_affinis_SRR1294447,SRR1294447,40,40,349,429,0.093240093
uncultured_eukaryote_SRR1296727,SRR1296727,281,60,88,429,0.655011655
Perkinsus_marinus_SRR1294397,SRR1294397,59,73,297,429,0.137529138
Chaetoceros_affinis_SRR1294452,SRR1294452,43,41,345,429,0.1002331
Amphidinium_carterae_SRR1294391,SRR1294391,16,22,391,429,0.037296037
Chaetoceros_curvisetus_SRR1294455,SRR1294455,51,96,282,429,0.118881119
Thalassiosira_weissflogii_SRR1294465,SRR1294465,233,58,138,429,0.543123543
Pyrodinium_bahamense_SRR1296702,SRR1296702,232,65,132,429,0.540792541
Pseudo-nitzschia_fraudulenta_SRR1294395,SRR1294395,169,83,177,429,0.393939394
Amphora_coffeiformis_SRR1296713,SRR1296713,103,37,289,429,0.24009324
Amphidinium_carterae_SRR1294394,SRR1294394,41,33,355,429,0.095571096
Gymnodinium_catenatum_SRR1296705,SRR1296705,276,39,114,429,0.643356643
Bicosoecida_sp._CB-2014_SRR1294380,SRR1294380,122,82,225,429,0.284382284
Alexandrium_fundyense_SRR1294386,SRR1294386,15,13,401,429,0.034965035
Chaetoceros_affinis_SRR1294446,SRR1294446,42,38,349,429,0.097902098
Blepharisma_japonicum_SRR1294460,SRR1294460,231,56,142,429,0.538461538
Alexandrium_fundyense_SRR1294387,SRR1294387,17,15,397,429,0.03962704
Chaetoceros_affinis_SRR1294453,SRR1294453,41,53,335,429,0.095571096
Rhizosolenia_setigera_SRR1296707,SRR1296707,289,33,107,429,0.673659674
Amoebophrya_sp._SRR1296703,SRR1296703,48,22,359,429,0.111888112
Leptocylindrus_aporus_SRR1296722,SRR1296722,238,61,130,429,0.554778555
Akashiwo_sanguinea_SRR1294462,SRR1294462,0,0,429,429,0
Amphidinium_carterae_SRR1294393,SRR1294393,31,30,368,429,0.072261072
Goniomonas_pacifica_SRR1296724,SRR1296724,247,95,87,429,0.575757576
Geminigera_cryophila_SRR1296699,SRR1296699,254,80,95,429,0.592074592
Akashiwo_sanguinea_SRR1294461,SRR1294461,0,3,426,429,0
Bicosoecida_sp._CB-2014_SRR1294381,SRR1294381,129,72,228,429,0.300699301
Dinobryon_SRR1294384,SRR1294384,199,75,155,429,0.463869464
Amphidinium_carterae_SRR1294392,SRR1294392,24,29,376,429,0.055944056
Mantoniella_SRR1300534,SRR1300534,178,90,161,429,0.414918415
Thalassiosira_weissflogii_SRR1300482,SRR1300482,248,52,129,429,0.578088578
Entomoneis_sp._SRR1300522,SRR1300522,154,56,219,429,0.358974359
Pseudo-nitzschia_delicatissima_SRR1300464,SRR1300464,204,85,140,429,0.475524476
Licmophora_paradoxa_SRR1300448,SRR1300448,163,93,173,429,0.37995338
Thalassiosira_weissflogii_SRR1300479,SRR1300479,265,42,122,429,0.617715618
Thalassiosira_weissflogii_SRR1300488,SRR1300488,274,36,119,429,0.638694639
Elphidium_margaritaceum_SRR1300475,SRR1300475,237,66,126,429,0.552447552
Chaetoceros_dichaeta_SRR1300526,SRR1300526,182,84,163,429,0.424242424
Thalassionema_nitzschioides_SRR1328075,SRR1328075,11,18,400,429,0.025641026
Pterosperma_SRR1300516,SRR1300516,174,100,155,429,0.405594406
uncultured_eukaryote_SRR1300496,SRR1300496,246,60,123,429,0.573426573
Prorocentrum_micans_SRR1300466,SRR1300466,8,18,403,429,0.018648019
Symbiodinium_sp._SRR1300470,SRR1300470,163,86,180,429,0.37995338
Pinguiococcus_pyrenoidosus_SRR1300500,SRR1300500,268,42,119,429,0.624708625
Pyrocystis_lunula_SRR1300467,SRR1300467,0,2,427,429,0
Madagascaria_erythrocladioides_SRR1300528,SRR1300528,211,120,98,429,0.491841492
uncultured_eukaryote_SRR1300495,SRR1300495,146,111,172,429,0.34032634
Thalassiosira_weissflogii_SRR1300486,SRR1300486,258,48,123,429,0.601398601
Micromonas_pusilla_SRR1300457,SRR1300457,275,51,103,429,0.641025641
Phaeocystis_cordata_SRR1300540,SRR1300540,132,104,193,429,0.307692308
Minutocellus_polymorphus_SRR1300535,SRR1300535,49,64,316,429,0.114219114
Anophryoides_haemophila_SRR1328076,SRR1328076,37,51,341,429,0.086247086
Pseudokeronopsis_SRR1300460,SRR1300460,247,51,131,429,0.575757576
Heterocapsa_arctica_SRR1300520,SRR1300520,201,68,160,429,0.468531469
Thalassiosira_weissflogii_SRR1300481,SRR1300481,261,45,123,429,0.608391608
Thalassiosira_weissflogii_SRR1300476,SRR1300476,238,59,132,429,0.554778555
Alexandrium_andersonii_SRR1300512,SRR1300512,101,113,215,429,0.235431235
Moneuplotes_crassus_SRR1300459,SRR1300459,191,61,177,429,0.445221445
Gyrodinium_dominans_SRR1300469,SRR1300469,1,0,428,429,0.002331002
Polarella_glacialis_SRR1300519,SRR1300519,202,56,171,429,0.470862471
uncultured_eukaryote_SRR1300529,SRR1300529,199,94,136,429,0.463869464
Oxyrrhis_marina_SRR1300472,SRR1300472,185,58,186,429,0.431235431
Chaetoceros_brevis_SRR1300510,SRR1300510,48,58,323,429,0.111888112
Thalassionema_nitzschioides_SRR1328074,SRR1328074,29,40,360,429,0.067599068
Erythrolobus_madagascarensis_SRR1300444,SRR1300444,135,70,224,429,0.314685315
Fabrea_salina_SRR1300445,SRR1300445,283,34,112,429,0.65967366
uncultured_eukaryote_SRR1300545,SRR1300545,281,44,104,429,0.655011655
Stichococcus_SRR1300543,SRR1300543,241,75,113,429,0.561771562
Micromonas_SRR1300454,SRR1300454,253,71,105,429,0.58974359
uncultured_eukaryote_SRR1300504,SRR1300504,189,121,119,429,0.440559441
Bolidomonas_SRR1300498,SRR1300498,187,90,152,429,0.435897436
Lessardia_elongata_SRR1300468,SRR1300468,3,1,425,429,0.006993007
uncultured_eukaryote_SRR1300494,SRR1300494,250,66,113,429,0.582750583
Skeletonema_marinoi_SRR1300462,SRR1300462,235,65,129,429,0.547785548
uncultured_eukaryote_SRR1300499,SRR1300499,324,18,87,429,0.755244755
Thalassiosira_weissflogii_SRR1300485,SRR1300485,251,50,128,429,0.585081585
Micromonas_pusilla_SRR1300456,SRR1300456,195,92,142,429,0.454545455
Asterionellopsis_glacialis_SRR1300451,SRR1300451,256,57,116,429,0.596736597
Thalassiosira_weissflogii_SRR1300490,SRR1300490,266,39,124,429,0.62004662
uncultured_eukaryote_SRR1300538,SRR1300538,251,94,84,429,0.585081585
Triceratium_dubium_SRR1300492,SRR1300492,112,85,232,429,0.261072261
Partenskyella_glossopodia_SRR1300497,SRR1300497,221,84,124,429,0.515151515
Gonyaulax_spinifera_SRR1300518,SRR1300518,162,70,197,429,0.377622378
Pycnococcus_provasolii_SRR1300541,SRR1300541,123,93,213,429,0.286713287
Bathycoccus_prasinos_SRR1300505,SRR1300505,226,61,142,429,0.526806527
Leptocylindrus_danicus_SRR1300450,SRR1300450,252,55,122,429,0.587412587
Synchroma_pusillum_SRR1300531,SRR1300531,188,98,143,429,0.438228438
Sarcinochrysis_SRR1300501,SRR1300501,59,45,325,429,0.137529138
Thalassiosira_weissflogii_SRR1300480,SRR1300480,257,49,123,429,0.599067599
Micromonas_pusilla_SRR1300455,SRR1300455,244,74,111,429,0.568764569
Prorocentrum_lima_SRR1300465,SRR1300465,8,7,414,429,0.018648019
Thalassiosira_weissflogii_SRR1300489,SRR1300489,277,32,120,429,0.645687646
Thalassiosira_weissflogii_SRR1300477,SRR1300477,245,53,131,429,0.571095571
Attheya_septentrionalis_SRR1300527,SRR1300527,192,55,182,429,0.447552448
Phaeocystis_antarctica_SRR1300523,SRR1300523,194,65,170,429,0.452214452
Craspedostauros_australis_SRR1300521,SRR1300521,111,71,247,429,0.258741259
Pycnococcus_provasolii_SRR1300542,SRR1300542,105,61,263,429,0.244755245
Exanthemachrysis_gayraliae_SRR1300508,SRR1300508,189,79,161,429,0.440559441
Oxyrrhis_marina_SRR1300473,SRR1300473,196,51,182,429,0.456876457
Thalassiosira_weissflogii_SRR1300483,SRR1300483,223,64,142,429,0.51981352
Micromonas_pusilla_SRR1300458,SRR1300458,252,71,106,429,0.587412587
Pavlova_lutheri_SRR1300507,SRR1300507,149,92,188,429,0.347319347
Imantonia_SRR1300544,SRR1300544,286,65,78,429,0.666666667
Thalassiosira_weissflogii_SRR1300478,SRR1300478,244,60,125,429,0.568764569
Pavlova_gyrans_SRR1300532,SRR1300532,129,63,237,429,0.300699301
Oxyrrhis_marina_SRR1300474,SRR1300474,253,31,145,429,0.58974359
Eucampia_antarctica_SRR1300514,SRR1300514,203,74,152,429,0.473193473
uncultured_eukaryote_SRR1300533,SRR1300533,200,63,166,429,0.466200466
uncultured_eukaryote_SRR1300506,SRR1300506,260,52,117,429,0.606060606
Symbiodinium_sp._SRR1300471,SRR1300471,200,89,140,429,0.466200466
Thalassiosira_weissflogii_SRR1300484,SRR1300484,262,43,124,429,0.610722611
Pseudo-nitzschia_heimii_SRR1300452,SRR1300452,268,38,123,429,0.624708625
Thalassiosira_weissflogii_SRR1300491,SRR1300491,260,44,125,429,0.606060606
Brandtodinium_nutricula_SRR1300537,SRR1300537,213,63,153,429,0.496503497
Pycnococcus_provasolii_SRR1300509,SRR1300509,178,78,173,429,0.414918415
Erythrolobus_australicus_SRR1300443,SRR1300443,161,72,196,429,0.375291375
Climacostomum_virens_SRR1300461,SRR1300461,285,37,107,429,0.664335664
uncultured_eukaryote_SRR1300539,SRR1300539,262,61,106,429,0.610722611
Pelagodinium_beii_SRR1300503,SRR1300503,221,62,146,429,0.515151515
Bathycoccus_prasinos_SRR1300453,SRR1300453,251,45,133,429,0.585081585
Pyramimonas_sp._SRR1300524,SRR1300524,232,90,107,429,0.540792541
Chaetoceros_sp._SRR1300463,SRR1300463,129,102,198,429,0.300699301
uncultured_eukaryote_SRR1300525,SRR1300525,245,62,122,429,0.571095571
Dictyocha_speculum_SRR1300447,SRR1300447,225,73,131,429,0.524475524
Thalassiosira_weissflogii_SRR1300487,SRR1300487,270,36,123,429,0.629370629
Vitrella_brassicaformis_SRR1300530,SRR1300530,206,82,141,429,0.48018648
Minutocellus_polymorphus_SRR1300446,SRR1300446,191,69,169,429,0.445221445
Anophryoides_haemophila_SRR1328077,SRR1328077,13,22,394,429,0.03030303
Schizochytrium_aggregatum_SRR1300411,SRR1300411,156,68,205,429,0.363636364
Pleurochrysis_carterae_SRR1300349,SRR1300349,208,64,157,429,0.484848485
Spumella_elongata_SRR1300416,SRR1300416,275,38,116,429,0.641025641
Bolidomonas_pacifica_SRR1300363,SRR1300363,207,90,132,429,0.482517483
Bigelowiella_natans_SRR1300405,SRR1300405,242,70,117,429,0.564102564
Bigelowiella_natans_SRR1300359,SRR1300359,219,81,129,429,0.51048951
Rhodopseudomonas_SRR1300429,SRR1300429,146,78,205,429,0.34032634
Thalassiosira_SRR1300392,SRR1300392,284,29,116,429,0.662004662
Symbiodinium_sp._SRR1300344,SRR1300344,155,63,211,429,0.361305361
uncultured_eukaryote_SRR1300360,SRR1300360,292,63,74,429,0.680652681
uncultured_eukaryote_SRR1300245,SRR1300245,244,59,126,429,0.568764569
Cryptomonas_curvata_SRR1300356,SRR1300356,170,91,168,429,0.396270396
Hemiselmis_rufescens_SRR1300404,SRR1300404,201,116,112,429,0.468531469
Gephyrocapsa_oceanica_SRR1300425,SRR1300425,197,96,136,429,0.459207459
Symbiodinium_sp._SRR1300431,SRR1300431,228,66,135,429,0.531468531
Chrysocystis_fragilis_SRR1300385,SRR1300385,172,90,167,429,0.400932401
Stauroneis_constricta_SRR1300408,SRR1300408,166,60,203,429,0.386946387
Gephyrocapsa_oceanica_SRR1300426,SRR1300426,185,112,132,429,0.431235431
Skeletonema_marinoi_SRR1300409,SRR1300409,147,101,181,429,0.342657343
Pseudo-nitzschia_pungens_SRR1300393,SRR1300393,264,40,125,429,0.615384615
Schizochytrium_aggregatum_SRR1300400,SRR1300400,254,53,122,429,0.592074592
Picochlorum_SRR1300389,SRR1300389,214,88,127,429,0.498834499
Calcidiscus_leptoporus_SRR1300371,SRR1300371,221,79,129,429,0.515151515
Ditylum_brightwellii_SRR1300435,SRR1300435,233,78,118,429,0.543123543
Ostreococcus_mediterraneus_SRR1300342,SRR1300342,293,29,107,429,0.682983683
Aulacoseira_subarctica_SRR1300395,SRR1300395,253,59,117,429,0.58974359
Aplanochytrium_stocchinoi_SRR1300413,SRR1300413,124,101,204,429,0.289044289
Pseudo-nitzschia_pungens_SRR1300394,SRR1300394,248,52,129,429,0.578088578
Chrysoculter_rhomboideus_SRR1300372,SRR1300372,138,77,214,429,0.321678322
Ammonia_sp._SRR1300434,SRR1300434,251,51,127,429,0.585081585
Schizochytrium_aggregatum_SRR1300410,SRR1300410,101,69,259,429,0.235431235
uncultured_eukaryote_SRR1300241,SRR1300241,257,89,83,429,0.599067599
uncultured_eukaryote_SRR1300369,SRR1300369,191,64,174,429,0.445221445
Cafeteria_SRR1300417,SRR1300417,231,95,103,429,0.538461538
Isochrysis_sp._SRR1300376,SRR1300376,50,44,335,429,0.116550117
Isochrysis_SRR1300423,SRR1300423,174,97,158,429,0.405594406
Skeletonema_marinoi_SRR1300407,SRR1300407,213,62,154,429,0.496503497
Polyblepharides_amylifera_SRR1300428,SRR1300428,220,90,119,429,0.512820513
Symbiodinium_sp._SRR1300343,SRR1300343,149,65,215,429,0.347319347
Thalassiosira_punctigera_SRR1300398,SRR1300398,253,60,116,429,0.58974359
Chrysoreinhardia_SRR1300388,SRR1300388,180,97,152,429,0.41958042
Amphiprora_paludosa_SRR1300396,SRR1300396,248,55,126,429,0.578088578
uncultured_eukaryote_SRR1300246,SRR1300246,176,97,156,429,0.41025641
Proteomonas_sulcata_SRR1300355,SRR1300355,133,123,173,429,0.31002331
Micromonas_SRR1300441,SRR1300441,289,39,101,429,0.673659674
Symbiodinium_sp._SRR1300430,SRR1300430,263,39,127,429,0.613053613
Aplanochytrium_stocchinoi_SRR1300414,SRR1300414,144,101,184,429,0.335664336
Aplanochytrium_stocchinoi_SRR1300401,SRR1300401,206,89,134,429,0.48018648
Cyclotella_meneghiniana_SRR1300390,SRR1300390,289,26,114,429,0.673659674
Gephyrocapsa_oceanica_SRR1300427,SRR1300427,192,112,125,429,0.447552448
Chaetoceros_cf._neogracile_SRR1300373,SRR1300373,234,57,138,429,0.545454545
Pycnococcus_provasolii_SRR1300362,SRR1300362,188,71,170,429,0.438228438
Rhizochromulina_marina_SRR1300381,SRR1300381,215,56,158,429,0.501165501
Bolidomonas_SRR1300364,SRR1300364,184,86,159,429,0.428904429
Prasinoderma_singularis_SRR1300361,SRR1300361,208,78,143,429,0.484848485
Micromonas_SRR1300442,SRR1300442,181,83,165,429,0.421911422
Ochromonas_SRR1300383,SRR1300383,270,45,114,429,0.629370629
Bigelowiella_longifila_SRR1300406,SRR1300406,161,104,164,429,0.375291375
Micromonas_SRR1300438,SRR1300438,270,51,108,429,0.629370629
Hemiselmis_andersenii_SRR1300352,SRR1300352,149,102,178,429,0.347319347
Thalassiosira_rotula_SRR1300436,SRR1300436,94,69,266,429,0.219114219
Scyphosphaera_apsteinii_SRR1300370,SRR1300370,241,54,134,429,0.561771562
uncultured_eukaryote_SRR1300242,SRR1300242,250,97,82,429,0.582750583
Rhodopseudomonas_SRR1300440,SRR1300440,140,105,184,429,0.326340326
Isochrysis_sp._SRR1300346,SRR1300346,159,49,221,429,0.370629371
Micromonas_SRR1300421,SRR1300421,268,56,105,429,0.624708625
Isochrysis_sp._SRR1300375,SRR1300375,58,39,332,429,0.135198135
Micromonas_pusilla_SRR1300367,SRR1300367,236,55,138,429,0.55011655
Chattonella_subsalsa_SRR1300240,SRR1300240,250,72,107,429,0.582750583
Hemiselmis_andersenii_SRR1300351,SRR1300351,183,111,135,429,0.426573427
Pleurochrysis_carterae_SRR1300348,SRR1300348,138,86,205,429,0.321678322
Rhodomonas_salina_SRR1300353,SRR1300353,231,81,117,429,0.538461538
Hanusia_phi_SRR1300354,SRR1300354,184,67,178,429,0.428904429
Fibrocapsa_japonica_SRR1300377,SRR1300377,150,91,188,429,0.34965035
Symbiodinium_sp._SRR1300433,SRR1300433,140,102,187,429,0.326340326
Micromonas_SRR1300437,SRR1300437,276,55,98,429,0.643356643
Bigelowiella_natans_SRR1300358,SRR1300358,247,70,112,429,0.575757576
Florenciella_parvula_SRR1300365,SRR1300365,102,92,235,429,0.237762238
uncultured_eukaryote_SRR1300374,SRR1300374,68,98,263,429,0.158508159
Pelagomonas_calceolata_SRR1300368,SRR1300368,195,68,166,429,0.454545455
Paraphysomonas_vestita_SRR1300418,SRR1300418,199,83,147,429,0.463869464
Chattonella_subsalsa_SRR1300239,SRR1300239,234,75,120,429,0.545454545
uncultured_eukaryote_SRR1300244,SRR1300244,238,66,125,429,0.554778555
Detonula_confervacea_SRR1300391,SRR1300391,294,28,107,429,0.685314685
Gephyrocapsa_oceanica_SRR1300424,SRR1300424,195,94,140,429,0.454545455
Coscinodiscus_wailesii_SRR1300397,SRR1300397,204,90,135,429,0.475524476
Isochrysis_SRR1300439,SRR1300439,194,94,141,429,0.452214452
Florenciella_SRR1300366,SRR1300366,134,90,205,429,0.312354312
Haptolina_brevifila_SRR1300415,SRR1300415,186,99,144,429,0.433566434
Chlamydomonas_SRR1300379,SRR1300379,199,76,154,429,0.463869464
Bigelowiella_natans_SRR1300357,SRR1300357,254,68,107,429,0.592074592
Timspurckia_oligopyrenoides_SRR1300387,SRR1300387,249,50,130,429,0.58041958
Schizochytrium_aggregatum_SRR1300412,SRR1300412,219,67,143,429,0.51048951
Pycnococcus_SRR1300422,SRR1300422,285,38,106,429,0.664335664
uncultured_eukaryote_SRR1300243,SRR1300243,264,88,77,429,0.615384615
Synedropsis_cf._recta_SRR1300382,SRR1300382,178,70,181,429,0.414918415
Pleurochrysis_carterae_SRR1300347,SRR1300347,178,90,161,429,0.414918415
Pyramimonas_obovata_SRR1300378,SRR1300378,230,84,115,429,0.536130536
Micromonas_SRR1300420,SRR1300420,280,56,93,429,0.652680653
uncultured_eukaryote_SRR1300384,SRR1300384,137,51,241,429,0.319347319
Hemiselmis_tepida_SRR1300402,SRR1300402,140,87,202,429,0.326340326
Hemiselmis_andersenii_SRR1300350,SRR1300350,179,106,144,429,0.417249417
Phaeocystis_SRR1300380,SRR1300380,153,86,190,429,0.356643357
Hemiselmis_virescens_SRR1300403,SRR1300403,184,105,140,429,0.428904429
Neobodo_designis_SRR1300419,SRR1300419,201,44,184,429,0.468531469
