,Complete,Fragmented,Missing,Total,Complete_BUSCO_prop,Complete_BUSCO_perc
MMETSP0936,235,17,51,303,0.775577558,77.55775578
MMETSP1394,213,51,39,303,0.702970297,70.2970297
MMETSP1346,193,71,39,303,0.636963696,63.69636964
MMETSP0878,229,43,31,303,0.755775578,75.57755776
MMETSP0325,228,22,53,303,0.752475248,75.24752475
MMETSP1057,1,0,302,303,0.00330033,0.330033003
MMETSP1085,269,20,14,303,0.887788779,88.77887789
MMETSP0140,237,31,35,303,0.782178218,78.21782178
MMETSP1471,124,86,93,303,0.409240924,40.92409241
MMETSP0890,212,40,51,303,0.699669967,69.9669967
MMETSP1127,271,21,11,303,0.894389439,89.43894389
MMETSP0030,200,47,56,303,0.660066007,66.00660066
MMETSP0932,11,27,265,303,0.03630363,3.630363036
MMETSP0416,159,102,42,303,0.524752475,52.47524752
MMETSP1390,8,1,294,303,0.02640264,2.640264026
MMETSP0287,203,52,48,303,0.669966997,66.99669967
MMETSP0202,190,49,64,303,0.627062706,62.70627063
MMETSP1315,210,55,38,303,0.693069307,69.30693069
MMETSP1418,228,43,32,303,0.752475248,75.24752475
MMETSP1170,65,50,188,303,0.214521452,21.45214521
MMETSP0965,204,61,38,303,0.673267327,67.32673267
MMETSP0493,156,93,54,303,0.514851485,51.48514851
MMETSP0117,222,52,29,303,0.732673267,73.26732673
MMETSP0815,209,53,41,303,0.689768977,68.97689769
MMETSP1426,220,32,51,303,0.726072607,72.60726073
MMETSP0059,250,31,22,303,0.825082508,82.50825083
MMETSP0372,11,10,282,303,0.03630363,3.630363036
MMETSP0786,260,16,27,303,0.858085809,85.80858086
MMETSP0989,248,33,22,303,0.818481848,81.84818482
MMETSP0754,0,0,303,303,0,0
MMETSP1385,186,74,43,303,0.613861386,61.38613861
MMETSP0292,161,96,46,303,0.531353135,53.13531353
MMETSP1357,209,69,25,303,0.689768977,68.97689769
MMETSP1132,167,58,78,303,0.551155116,55.11551155
MMETSP0403,222,46,35,303,0.732673267,73.26732673
MMETSP1369,212,47,44,303,0.699669967,69.9669967
MMETSP1042,192,69,42,303,0.633663366,63.36633663
MMETSP1090,187,67,49,303,0.617161716,61.71617162
MMETSP0573,209,40,54,303,0.689768977,68.97689769
MMETSP1464,189,59,55,303,0.623762376,62.37623762
MMETSP0885,190,67,46,303,0.627062706,62.70627063
MMETSP0716,0,0,303,303,0,0
MMETSP0367,224,25,54,303,0.739273927,73.92739274
MMETSP1015,191,49,63,303,0.630363036,63.03630363
MMETSP0229,0,1,302,303,0,0
MMETSP0102,124,53,126,303,0.409240924,40.92409241
MMETSP0800,142,88,73,303,0.468646865,46.86468647
MMETSP1433,275,12,16,303,0.907590759,90.75907591
MMETSP1165,181,52,70,303,0.597359736,59.7359736
MMETSP0359,246,15,42,303,0.811881188,81.18811881
MMETSP0970,191,63,49,303,0.630363036,63.03630363
MMETSP0216,201,68,34,303,0.663366337,66.33663366
MMETSP1164,178,62,63,303,0.587458746,58.74587459
MMETSP0971,211,53,39,303,0.696369637,69.6369637
MMETSP0103,206,57,40,303,0.679867987,67.98679868
MMETSP0228,204,46,53,303,0.673267327,67.32673267
MMETSP1432,201,63,39,303,0.663366337,66.33663366
MMETSP0740,59,87,157,303,0.194719472,19.47194719
MMETSP0918,181,73,49,303,0.597359736,59.7359736
MMETSP0717,54,108,141,303,0.178217822,17.82178218
MMETSP0186,5,15,283,303,0.01650165,1.650165017
MMETSP1043,166,69,68,303,0.547854785,54.78547855
MMETSP1091,135,89,79,303,0.445544554,44.55445545
MMETSP0154,209,59,35,303,0.689768977,68.97689769
MMETSP0884,189,65,49,303,0.623762376,62.37623762
MMETSP1465,144,87,72,303,0.475247525,47.52475248
MMETSP1384,179,76,48,303,0.590759076,59.07590759
MMETSP1356,193,71,39,303,0.636963696,63.69636964
MMETSP0058,236,42,25,303,0.778877888,77.88778878
MMETSP0988,235,45,23,303,0.775577558,77.55775578
MMETSP1001,187,56,60,303,0.617161716,61.71617162
MMETSP0116,212,46,45,303,0.699669967,69.9669967
MMETSP0814,168,42,93,303,0.554455446,55.44554455
MMETSP1171,101,46,156,303,0.333333333,33.33333333
MMETSP0964,229,41,33,303,0.755775578,75.57755776
MMETSP0492,110,79,114,303,0.363036304,36.30363036
MMETSP1419,226,44,33,303,0.745874587,74.58745875
MMETSP1391,241,48,14,303,0.795379538,79.5379538
MMETSP0286,92,56,155,303,0.303630363,30.3630363
MMETSP1068,219,52,32,303,0.722772277,72.27722772
MMETSP1126,1,0,302,303,0.00330033,0.330033003
MMETSP0031,193,48,62,303,0.636963696,63.69636964
MMETSP0933,246,13,44,303,0.811881188,81.18811881
MMETSP0417,258,18,27,303,0.851485149,85.14851485
MMETSP1084,251,24,28,303,0.828382838,82.83828383
MMETSP0141,242,28,33,303,0.798679868,79.8679868
MMETSP0891,244,12,47,303,0.805280528,80.52805281
MMETSP1470,245,47,11,303,0.808580858,80.85808581
MMETSP0324,230,20,53,303,0.759075908,75.90759076
MMETSP0191,177,82,44,303,0.584158416,58.41584158
MMETSP1054,244,26,33,303,0.805280528,80.52805281
MMETSP1086,163,62,78,303,0.537953795,53.79537954
MMETSP0268,128,57,118,303,0.422442244,42.24422442
MMETSP0143,204,63,36,303,0.673267327,67.32673267
MMETSP1472,114,80,109,303,0.376237624,37.62376238
MMETSP0893,174,66,63,303,0.574257426,57.42574257
MMETSP0326,104,57,142,303,0.343234323,34.32343234
MMETSP1393,170,62,71,303,0.561056106,56.10561056
MMETSP1124,155,63,85,303,0.511551155,51.15511551
MMETSP0318,122,55,126,303,0.402640264,40.2640264
MMETSP0033,250,31,22,303,0.825082508,82.50825083
MMETSP0415,106,119,78,303,0.349834983,34.98349835
MMETSP1173,218,35,50,303,0.719471947,71.94719472
MMETSP0201,206,42,55,303,0.679867987,67.98679868
MMETSP1316,183,75,45,303,0.603960396,60.3960396
MMETSP0371,213,36,54,303,0.702970297,70.2970297
MMETSP0088,38,47,218,303,0.125412541,12.54125413
MMETSP0785,222,37,44,303,0.732673267,73.26732673
MMETSP0958,231,41,31,303,0.762376238,76.23762376
MMETSP1328,192,51,60,303,0.633663366,63.36633663
MMETSP0114,166,44,93,303,0.547854785,54.78547855
MMETSP0816,153,91,59,303,0.504950495,50.49504951
MMETSP1425,176,42,85,303,0.580858086,58.08580858
MMETSP1131,59,52,192,303,0.194719472,19.47194719
MMETSP0924,40,127,136,303,0.132013201,13.20132013
MMETSP1386,254,23,26,303,0.838283828,83.82838284
MMETSP0168,278,11,14,303,0.917491749,91.74917492
MMETSP1354,130,89,84,303,0.429042904,42.90429043
MMETSP1459,183,67,53,303,0.603960396,60.3960396
MMETSP0018,118,63,122,303,0.389438944,38.94389439
MMETSP1041,197,62,44,303,0.650165017,65.01650165
MMETSP0156,257,23,23,303,0.848184818,84.81848185
MMETSP1467,205,46,52,303,0.676567657,67.65676568
MMETSP0886,184,46,73,303,0.607260726,60.72607261
MMETSP0689,231,22,50,303,0.762376238,76.23762376
MMETSP1016,202,47,54,303,0.666666667,66.66666667
MMETSP0101,200,52,51,303,0.660066007,66.00660066
MMETSP0527,195,46,62,303,0.643564356,64.35643564
MMETSP0803,229,54,20,303,0.755775578,75.57755776
MMETSP0790,201,49,53,303,0.663366337,66.33663366
MMETSP0469,238,30,35,303,0.785478548,78.54785479
MMETSP1166,219,37,47,303,0.722772277,72.27722772
MMETSP0973,192,61,50,303,0.633663366,63.36633663
MMETSP1167,204,68,31,303,0.673267327,67.32673267
MMETSP0972,209,52,42,303,0.689768977,68.97689769
MMETSP0484,234,42,27,303,0.772277228,77.22772277
MMETSP1159,203,55,45,303,0.669966997,66.99669967
MMETSP0468,189,43,71,303,0.623762376,62.37623762
MMETSP1017,195,46,62,303,0.643564356,64.35643564
MMETSP0100,229,36,38,303,0.755775578,75.57755776
MMETSP0802,262,14,27,303,0.864686469,86.46864686
MMETSP1040,135,67,101,303,0.445544554,44.55445545
MMETSP0887,214,40,49,303,0.706270627,70.62706271
MMETSP1466,136,57,110,303,0.448844884,44.88448845
MMETSP0019,219,39,45,303,0.722772277,72.27722772
MMETSP1387,263,17,23,303,0.867986799,86.79867987
MMETSP0169,19,69,215,303,0.062706271,6.270627063
MMETSP0290,202,50,51,303,0.666666667,66.66666667
MMETSP1355,152,63,88,303,0.501650165,50.1650165
MMETSP1130,5,5,293,303,0.01650165,1.650165017
MMETSP0027,201,44,58,303,0.663366337,66.33663366
MMETSP0925,34,117,152,303,0.112211221,11.22112211
MMETSP1002,93,101,109,303,0.306930693,30.69306931
MMETSP1329,187,59,57,303,0.617161716,61.71617162
MMETSP0115,123,61,119,303,0.405940594,40.59405941
MMETSP0817,247,45,11,303,0.815181518,81.51815182
MMETSP1424,175,42,86,303,0.577557756,57.75577558
MMETSP0370,216,33,54,303,0.712871287,71.28712871
MMETSP0784,251,20,32,303,0.828382838,82.83828383
MMETSP0959,255,19,29,303,0.841584158,84.15841584
MMETSP0200,247,25,31,303,0.815181518,81.51815182
MMETSP1317,72,82,149,303,0.237623762,23.76237624
MMETSP1172,221,57,25,303,0.729372937,72.93729373
MMETSP0491,203,75,25,303,0.669966997,66.99669967
MMETSP1125,204,39,60,303,0.673267327,67.32673267
MMETSP0319,222,49,32,303,0.732673267,73.26732673
MMETSP0930,153,48,102,303,0.504950495,50.49504951
MMETSP0414,115,106,82,303,0.379537954,37.95379538
MMETSP1392,250,40,13,303,0.825082508,82.50825083
MMETSP0327,242,28,33,303,0.798679868,79.8679868
MMETSP0190,137,68,98,303,0.452145215,45.21452145
MMETSP1055,224,37,42,303,0.739273927,73.92739274
MMETSP0142,249,21,33,303,0.821782178,82.17821782
MMETSP0269,201,39,63,303,0.663366337,66.33663366
MMETSP0892,178,59,66,303,0.587458746,58.74587459
MMETSP1473,236,41,26,303,0.778877888,77.88778878
